UniqueSampleID,UMAP1,UMAP2,TREAT1_clean,condition,MS_batch_proxy
20251001_FJ_FQ_F105,3.5503238234786516,4.153440211727781,high,湿热,20251001
20251001_FJ_FQ_F120,0.9752983842162615,-0.3879997759912778,high,湿热,20251001
20251001_FJ_FQ_F136,0.8455614838866716,-0.34412212221367844,control,湿热,20251001
20251001_FJ_FQ_F141,5.288839915779066,1.0027029261137677,control,湿热,20251001
20251001_FJ_FQ_F147,3.197172740486098,2.7769012197996807,high,湿热,20251001
20251001_FJ_FQ_F150,4.084051946189833,2.31588432641284,control,湿热,20251001
20251001_FJ_FQ_F154,1.3435461316375261,1.3021056398894024,high,湿热,20251001
20251001_FJ_FQ_F158,3.50079284050746,4.245561335995359,high,湿热,20251001
20251001_FJ_FQ_F163,3.560414413001967,4.21304533334033,control,湿热,20251001
20251001_FJ_FQ_F165,3.292061904457045,2.741557572796507,control,湿热,20251001
20251001_FJ_FQ_F168,0.4085307512549883,0.06458762736575119,high,湿热,20251001
20251001_FJ_FQ_F170,0.9068069253234392,1.8711585745360089,control,湿热,20251001
20251001_FJ_FQ_F173,1.4092416558532244,1.5070407137419415,low,湿热,20251001
20251001_FJ_FQ_F174,1.3915581498412615,1.6517884478117657,low,湿热,20251001
20251001_FJ_FQ_F175,3.192174771812392,2.708744500591917,low,湿热,20251001
20251001_FJ_FQ_F176,1.3705459628371721,1.8335971579100323,low,湿热,20251001
20251001_FJ_FQ_F177,0.7840205226211077,1.4510675415541363,low,湿热,20251001
20251001_FJ_FQ_F180,1.4788676295547014,1.5394685015227032,low,湿热,20251001
20251001_FJ_FQ_F183,1.34278617241664,2.0232546076323223,low,湿热,20251001
20251001_FJ_FQ_F185,1.2197837624816423,2.0167286142851544,low,湿热,20251001
20251001_XZ_YA_1,4.953270057228041,1.8903176531340313,low,高海拔,20251001
20251001_XZ_YA_2,4.135116914298964,3.081566070034666,low,高海拔,20251001
20251001_XZ_YA_3,6.1553941760329725,1.297528122379942,low,高海拔,20251001
20251001_XZ_YA_4,4.05627117493434,3.718113635494871,low,高海拔,20251001
20251001_XZ_YA_5,4.157254556205702,3.103648637249632,low,高海拔,20251001
20251001_XZ_YA_6,5.152131656196547,1.3514902338530255,low,高海拔,20251001
20251001_XZ_YA_7,3.9269836936263567,3.458674167111082,low,高海拔,20251001
20251001_XZ_YA_8,4.148808816459608,3.2567851290251446,low,高海拔,20251001
20251001_XZ_YA_9,4.2681990657119275,2.956185315563841,low,高海拔,20251001
20251001_XZ_YA_10,5.0417977366714,1.7442078337217999,low,高海拔,20251001
20251001_XZ_YA_11,4.327200988319349,3.653986667111082,low,高海拔,20251001
20251001_XZ_YA_12,5.034586051490736,1.5687920794035626,low,高海拔,20251001
