UniqueSampleID,TREAT1_clean,condition,group,MS_batch_proxy,observed_proteins,missing_pct,log2_median,log2_q25,log2_q75,log2_iqr,median_norm_median,median_shift_applied
20250914_FJ_PT_P7,control,湿热,FJ_PT,20250914,1432,0.1394700139470014,10.382997762200056,9.050885997557607,12.268511093701964,3.217625096144358,9.242360582721323,-1.1406371794787322
20250914_FJ_PT_P8,low,湿热,FJ_PT,20250914,1430,0.2789400278940028,9.777457106163189,8.462961883417115,11.457893334714113,2.9949314512969956,9.242360582721323,-0.5350965234418634
20250914_FJ_PT_P9,low,湿热,FJ_PT,20250914,1425,0.6276150627615062,9.805905412272187,8.500558179278508,11.580628685097736,3.0800705058192275,9.242360582721323,-0.5635448295508638
20250914_FJ_PT_P10,low,湿热,FJ_PT,20250914,1423,0.7670850767085077,9.65229280004664,8.329433757343857,11.488530618879697,3.15909686153584,9.242360582721323,-0.40993221732531815
20250914_FJ_PT_P11,high,湿热,FJ_PT,20250914,1429,0.3486750348675035,10.40259314818213,9.113394036131435,12.105967636930025,2.992573600798588,9.242360582721323,-1.160232565460806
20250914_FJ_PT_P13,low,湿热,FJ_PT,20250914,1419,1.0460251046025104,9.544884273293649,8.256631796590186,11.570981288457482,3.3143494918672953,9.242360582721323,-0.30252369057232364
20250914_FJ_PT_P15,low,湿热,FJ_PT,20250914,1424,0.697350069735007,9.942803783115354,8.580026605831566,11.719313705283172,3.1392870994516056,9.242360582721323,-0.7004432003940302
20250914_FJ_PT_P17,high,湿热,FJ_PT,20250914,1425,0.6276150627615062,10.135097701757791,8.898233990730118,11.96300929023864,3.064775299508522,9.242360582721323,-0.8927371190364681
20250914_FJ_PT_P18,high,湿热,FJ_PT,20250914,1408,1.813110181311018,9.650877305649216,8.14025752324146,11.701639875404314,3.5613823521628554,9.242360582721322,-0.4085167229278941
20250914_FJ_PT_P19,high,湿热,FJ_PT,20250914,1418,1.1157601115760112,9.72245554250565,8.143731529426443,11.622570799207466,3.478839269781023,9.242360582721322,-0.4800949597843261
20250914_FJ_PT_P20,low,湿热,FJ_PT,20250914,1415,1.3249651324965133,9.647160852915407,8.193435955216376,11.516456903744004,3.3230209485276276,9.242360582721323,-0.4048002701940856
20250914_FJ_PT_P21,high,湿热,FJ_PT,20250914,1422,0.8368200836820083,9.998992955772744,8.675604587652018,11.775155454760664,3.099550867108647,9.242360582721323,-0.7566323730514206
20250914_FJ_PT_P22,low,湿热,FJ_PT,20250914,1384,3.486750348675035,9.254268871925152,7.728011052616203,11.3763243776607,3.648313325044499,9.242360582721323,-0.01190828920382891
20250914_FJ_PT_P23,low,湿热,FJ_PT,20250914,1418,1.1157601115760112,9.542771846595762,8.112862024477996,11.561936702246047,3.449074677768051,9.242360582721322,-0.30041126387443917
20250914_FJ_PT_P24,high,湿热,FJ_PT,20250914,1423,0.7670850767085077,9.836563854285847,8.337096304345259,11.670915579025852,3.333819274680593,9.242360582721323,-0.594203271564524
20250914_FJ_PT_P25,low,湿热,FJ_PT,20250914,1390,3.0683403068340307,8.962976027133413,7.583767320793308,10.759671434303682,3.1759041135103736,9.242360582721323,0.2793845555879102
20250914_FJ_PT_P26,high,湿热,FJ_PT,20250914,1419,1.0460251046025104,9.764047078305444,8.434863641744055,11.474010202710929,3.0391465609668735,9.242360582721323,-0.5216864955841221
20250914_FJ_PT_P27,high,湿热,FJ_PT,20250914,1421,0.906555090655509,9.936274890598346,8.604727066665964,11.78655002054589,3.1818229538799265,9.242360582721323,-0.6939143078770229
20250914_FJ_PT_P29,high,湿热,FJ_PT,20250914,1402,2.2315202231520224,10.050306495620893,8.563007480523996,11.956533819608524,3.393526339084527,9.242360582721322,-0.8079459128995676
20250914_FJ_PT_P30,high,湿热,FJ_PT,20250914,1420,0.9762900976290098,9.739184537585842,8.372802327427708,11.517744052302366,3.1449417248746574,9.242360582721323,-0.496823954864519
20250914_FJ_PT_P33,high,湿热,FJ_PT,20250914,1422,0.8368200836820083,10.00165679715839,8.762153618599488,11.67306294922644,2.9109093306269536,9.242360582721322,-0.7592962144370663
20251001_FJ_FQ_F83,low,湿热,FJ_FQ,20251001,1348,5.997210599721059,9.008618196978423,7.604963908594379,11.155454018647236,3.5504901100528583,9.242360582721323,0.2337423857428984
20251001_FJ_FQ_F95,high,湿热,FJ_FQ,20251001,1184,17.433751743375176,8.885192713957139,7.340170578568675,11.279453864368897,3.939283285800222,9.242360582721323,0.3571678687641846
20251001_FJ_FQ_F97,high,湿热,FJ_FQ,20251001,1354,5.578800557880056,9.20152929123062,7.692079827574567,11.24696929754436,3.554889469969792,9.242360582721323,0.04083129149070252
20251001_FJ_FQ_F105,high,湿热,FJ_FQ,20251001,1158,19.246861924686193,9.209322386065317,7.687168414498133,11.502298710528144,3.8151302960300097,9.242360582721323,0.03303819665600649
20251001_FJ_FQ_F120,high,湿热,FJ_FQ,20251001,1346,6.136680613668061,8.64604390063592,7.248377654579885,10.643228385286712,3.3948507307068283,9.242360582721323,0.5963166820854031
20251001_FJ_FQ_F136,control,湿热,FJ_FQ,20251001,1366,4.741980474198047,8.569910090947902,7.157500482409716,10.510281066961694,3.3527805845519776,9.242360582721323,0.6724504917734215
20251001_FJ_FQ_F141,control,湿热,FJ_FQ,20251001,1398,2.510460251046025,9.872139045079262,8.364722410564436,11.781859955866944,3.4171375453025092,9.242360582721322,-0.6297784623579386
20251001_FJ_FQ_F147,high,湿热,FJ_FQ,20251001,1289,10.1115760111576,9.240645779171476,7.611913069741472,11.564234983504273,3.9523219137628,9.242360582721323,0.00171480354984865
20251001_FJ_FQ_F150,control,湿热,FJ_FQ,20251001,1388,3.207810320781032,9.746636134428323,8.271223256589067,11.674906096948275,3.4036828403592096,9.242360582721323,-0.5042755517070017
