"PG.ProteinGroups","logFC_primary","logFC_comparison"
"P02745",0.479170967105761,0.447922805186689
"P02746",0.426365646001777,0.402557741273105
"P02747",0.420879189879557,0.365929243044096
"P02748",0.0960661526571833,0.0482651721276763
"P02749",0.278753613777562,0.25355104229215
"P02750",0.542632990902447,0.505253659175542
"P02751",0.0763086742553174,0.009558706656005
"P02753",0.25688312397736,0.173403843909041
"P02760",-0.0947204789453728,-0.0936405032933667
"P02763",0.446296920045986,0.43246236715569
"P02765",0.201033798702323,0.124315320282204
"P02766",0.00835780547597942,0.0438853590275468
"P02768",0.266778612665464,0.233082619757539
"P02774",0.240661056242573,0.256643365952247
"P02775",-0.206803691562309,-0.229627120560259
"P02776",-0.150889561831345,-0.169402804854565
"P02786",0.199490854795833,0.107400478969856
"P02787",0.472660062609803,0.463070905503132
"P02788",-0.0450501113770105,-0.0137583647003687
"P02790",0.342343422754226,0.358270661928014
"P03950",-0.160096585000588,-0.0835583188504803
"P03951",-0.0950941558937917,-0.109461648618968
"P03952",0.085761408064478,0.0688414519799743
"P04003",0.169047149242941,0.165131437136402
"P04004",-0.124091643077204,-0.129910217947753
"P04040",-0.289115847016435,-0.315797345337447
"P04062",-0.177202525021292,-0.24683345845769
"P04070",0.00929865569504251,0.0273075065134254
"P04075",0.0273435550276808,-0.0494113861544427
"P04083",0.0750927633901517,-0.00549690004002557
"P04114",0.138590004772627,0.164491106457088
"P04156",-0.0372408583216686,-0.124137986828063
"P04180",0.169506388985084,0.066639154684994
"P04196",-0.110441364146027,-0.0751577531300462
"P04211",0.12587206919136,0.0752674289042066
"P04217",0.540288713742566,0.521524587198224
"P04233",-0.0915942160301206,-0.129272196680382
"P04259",-0.127660443685702,-0.161098513504282
"P04264",-0.275453715736418,-0.291478054096743
"P04275",-0.130061226840592,-0.129865239157315
"P04278",0.249804220232946,0.131363241481715
"P04350",-0.175738824059756,-0.284833759016786
"P04406",-0.256246765017325,-0.274102569396593
"P04439",0.00474357488789678,-0.0594904182089557
"P04632",-0.104325057306722,-0.158901256477467
"P04792",-0.0986600928908086,-0.192451081744686
"P04839",-0.0589033603064708,-0.148518643501659
"P04899",-0.134967239622613,-0.194650619309469
"P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1",-0.0442167432337186,-0.1255668080611
"P04921",0.0617110083200334,-0.0449997085886338
"P05019",-0.0518696000545997,-0.0631913753801943
"P05023",-0.0660082318181479,-0.108063151071789
"P05060",-0.171651638828381,-0.180641520569443
"P05062",0.0759953434290193,-0.0998657024636227
"P05067",-0.37360657906515,-0.388529525651144
"P05089",-0.25224022512764,-0.255416865273864
"P05090",0.0142644148510431,-0.0117543983301225
"P05106",-0.139648873308898,-0.193901510578989
"P05107",-0.0559692863555306,-0.084647620235442
"P05109",0.0453236425271761,-0.0159737553713359
"P05121",-0.103004695073134,-0.0442848687887736
"P05141",0.200850820100106,0.0635489052911868
"P05154",-0.157727131428674,-0.136550785538969
"P05155",0.00747800689607558,-0.0832441878456702
"P05156",0.277603564049482,0.300148368632243
"P05160",0.370940989664213,0.295152820771456
"P05164",-0.154391164386833,-0.148520699813353
"P05186",-0.184684173277086,-0.186135188709681
"P05198",-0.0247113916313388,-0.110471996177639
"P05362",-0.0868399809219635,-0.112172459583457
"P05386",-0.312790729989931,-0.369775396735665
"P05387",-0.134450778174319,-0.189287627211437
"P05388",-0.0951906295628859,-0.125892033702659
"P05452",0.0829163049636019,0.104571907854213
"P05543",0.302275694130042,0.280871584050354
"P05546",0.194545793069015,0.191324268340068
"P05556",-0.0479524710497188,-0.0903148051970462
"P05997",-0.0122724712944793,-0.0605220967389393
