PG.ProteinGroups,Detection_pattern,Target_threshold,Other_threshold_exclusive
O43747,Other_unbalanced,0.7,0.2
O43752,Sparse,0.7,0.2
O43765,Other_unbalanced,0.7,0.2
O43768,Other_unbalanced,0.7,0.2
O43776,Other_unbalanced,0.7,0.2
O43813,Other_unbalanced,0.7,0.2
O43815,Sparse,0.7,0.2
O43847,Other_unbalanced,0.7,0.2
O43852,Broad_detection,0.7,0.2
O43865,Sparse,0.7,0.2
O43866,Broad_detection,0.7,0.2
O43895,Other_unbalanced,0.7,0.2
O43897,Broad_detection,0.7,0.2
O43915,Other_unbalanced,0.7,0.2
O43920,Sparse,0.7,0.2
O60229,Other_unbalanced,0.7,0.2
O60234,Broad_detection,0.7,0.2
O60240,Broad_detection,0.7,0.2
O60241,Other_unbalanced,0.7,0.2
O60245,Broad_detection,0.7,0.2
O60256,Other_unbalanced,0.7,0.2
O60262,Other_unbalanced,0.7,0.2
O60268,Other_unbalanced,0.7,0.2
O60269,Sparse,0.7,0.2
O60279,Broad_detection,0.7,0.2
O60281,Other_unbalanced,0.7,0.2
O60306,Other_unbalanced,0.7,0.2
O60313,Other_unbalanced,0.7,0.2
O60330,Other_unbalanced,0.7,0.2
O60333,Sparse,0.7,0.2
O60437,Other_unbalanced,0.7,0.2
O60462,Broad_detection,0.7,0.2
O60476,Broad_detection,0.7,0.2
O60488,Other_unbalanced,0.7,0.2
O60493,Broad_detection,0.7,0.2
O60496,Other_unbalanced,0.7,0.2
O60506,Other_unbalanced,0.7,0.2
O60507,Other_unbalanced,0.7,0.2
O60512,Other_unbalanced,0.7,0.2
O60568,Other_unbalanced,0.7,0.2
O60610,Broad_detection,0.7,0.2
O60613,Other_unbalanced,0.7,0.2
O60664,Broad_detection,0.7,0.2
O60667,Other_unbalanced,0.7,0.2
O60687,Other_unbalanced,0.7,0.2
O60704,Broad_detection,0.7,0.2
O60716,Sparse,0.7,0.2
O60749,Other_unbalanced,0.7,0.2
O60762,Sparse,0.7,0.2
O60763,Other_unbalanced,0.7,0.2
O60784,Sparse,0.7,0.2
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,Broad_detection,0.7,0.2
O60826,Sparse,0.7,0.2
O60841,Other_unbalanced,0.7,0.2
O60844,Broad_detection,0.7,0.2
O60869,Other_unbalanced,0.7,0.2
O60884,Other_unbalanced,0.7,0.2
O60888,Other_unbalanced,0.7,0.2
O60890,Sparse,0.7,0.2
O60896,Other_unbalanced,0.7,0.2
O60909,Other_unbalanced,0.7,0.2
O60911,Other_unbalanced,0.7,0.2
O60925,Other_unbalanced,0.7,0.2
O60934,Sparse,0.7,0.2
O60936,Broad_detection,0.7,0.2
O75015,Other_unbalanced,0.7,0.2
O75023,Other_unbalanced,0.7,0.2
O75044;P0DMP2,Other_unbalanced,0.7,0.2
O75069,Sparse,0.7,0.2
O75081,Broad_detection,0.7,0.2
O75083,Broad_detection,0.7,0.2
O75093,Other_unbalanced,0.7,0.2
O75116,Other_unbalanced,0.7,0.2
O75131,Other_unbalanced,0.7,0.2
O75144,Broad_detection,0.7,0.2
O75147,Broad_detection,0.7,0.2
O75150,Other_unbalanced,0.7,0.2
O75154,Sparse,0.7,0.2
O75165,Broad_detection,0.7,0.2
O75170,Broad_detection,0.7,0.2
O75190,Sparse,0.7,0.2
O75223,Broad_detection,0.7,0.2
O75251,Sparse,0.7,0.2
O75298,Sparse,0.7,0.2
O75306,Sparse,0.7,0.2
O75309,Broad_detection,0.7,0.2
O75326,Other_unbalanced,0.7,0.2
O75339,Broad_detection,0.7,0.2
O75340,Broad_detection,0.7,0.2
O75342,Other_unbalanced,0.7,0.2
O75347,Broad_detection,0.7,0.2
O75348,Other_unbalanced,0.7,0.2
O75351,Broad_detection,0.7,0.2
O75356,Broad_detection,0.7,0.2
O75367,Broad_detection,0.7,0.2
O75368,Broad_detection,0.7,0.2
O75369,Other_unbalanced,0.7,0.2
O75390,Other_unbalanced,0.7,0.2
O75396,Other_unbalanced,0.7,0.2
O75410,Sparse,0.7,0.2
O75431,Sparse,0.7,0.2
O75436,Other_unbalanced,0.7,0.2
O75437,Sparse,0.7,0.2
O75475,Other_unbalanced,0.7,0.2
O75477,Sparse,0.7,0.2
O75487,Broad_detection,0.7,0.2
O75489,Sparse,0.7,0.2
O75494,Sparse,0.7,0.2
O75531,Broad_detection,0.7,0.2
O75533,Sparse,0.7,0.2
O75556,Sparse,0.7,0.2
O75558,Broad_detection,0.7,0.2
O75563,Other_unbalanced,0.7,0.2
O75578,Other_unbalanced,0.7,0.2
O75592,Sparse,0.7,0.2
O75596,Other_unbalanced,0.7,0.2
O75602,Other_unbalanced,0.7,0.2
O75608,Other_unbalanced,0.7,0.2
O75629,Sparse,0.7,0.2
O75636,Broad_detection,0.7,0.2
O75643,Other_unbalanced,0.7,0.2
O75663,Sparse,0.7,0.2
O75688,Other_unbalanced,0.7,0.2
O75694,Sparse,0.7,0.2
O75695,Other_unbalanced,0.7,0.2
O75716,Sparse,0.7,0.2
O75752,Broad_detection,0.7,0.2
O75787,Broad_detection,0.7,0.2
O75791,Other_unbalanced,0.7,0.2
O75821,Other_unbalanced,0.7,0.2
O75822,Broad_detection,0.7,0.2
O75832,Other_unbalanced,0.7,0.2
O75844,Sparse,0.7,0.2
O75874,Broad_detection,0.7,0.2
O75882,Broad_detection,0.7,0.2
O75884,Other_unbalanced,0.7,0.2
O75888,Other_unbalanced,0.7,0.2
O75897,Broad_detection,0.7,0.2
O75915,Other_unbalanced,0.7,0.2
O75923,Other_unbalanced,0.7,0.2
O75935,Other_unbalanced,0.7,0.2
O75947,Other_unbalanced,0.7,0.2
O75954,Other_unbalanced,0.7,0.2
O75955,Broad_detection,0.7,0.2
O75964,Other_unbalanced,0.7,0.2
O75995,Other_unbalanced,0.7,0.2
O76003,Other_unbalanced,0.7,0.2
O76013,Other_unbalanced,0.7,0.2
O76015,Sparse,0.7,0.2
O76021,Sparse,0.7,0.2
O76031,Sparse,0.7,0.2
O76061,Other_unbalanced,0.7,0.2
O76070,Sparse,0.7,0.2
O76074,Other_unbalanced,0.7,0.2
O94766,Other_unbalanced,0.7,0.2
O94769,Broad_detection,0.7,0.2
O94804,Other_unbalanced,0.7,0.2
O94818,Sparse,0.7,0.2
O94819,Sparse,0.7,0.2
O94826,Sparse,0.7,0.2
O94874,Other_unbalanced,0.7,0.2
O94886,Other_unbalanced,0.7,0.2
O94903,Other_unbalanced,0.7,0.2
O94905,Sparse,0.7,0.2
O94915,Sparse,0.7,0.2
O94919,Other_unbalanced,0.7,0.2
O94923,Other_unbalanced,0.7,0.2
O94925,Sparse,0.7,0.2
O94929,Other_unbalanced,0.7,0.2
O94966,Broad_detection,0.7,0.2
O94973,Broad_detection,0.7,0.2
O94979,Other_unbalanced,0.7,0.2
O94985,Broad_detection,0.7,0.2
O95071,Sparse,0.7,0.2
O95084,Broad_detection,0.7,0.2
O95139,Sparse,0.7,0.2
O95154,Sparse,0.7,0.2
O95168,Sparse,0.7,0.2
O95169,Sparse,0.7,0.2
O95182,Sparse,0.7,0.2
O95196,Broad_detection,0.7,0.2
O95197,Other_unbalanced,0.7,0.2
O95202,Other_unbalanced,0.7,0.2
O95236,Broad_detection,0.7,0.2
O95260,Other_unbalanced,0.7,0.2
O95292,Other_unbalanced,0.7,0.2
O95295,Sparse,0.7,0.2
O95299,Other_unbalanced,0.7,0.2
O95319,Sparse,0.7,0.2
O95336,Other_unbalanced,0.7,0.2
O95340,Sparse,0.7,0.2
O95347,Sparse,0.7,0.2
O95372,Other_unbalanced,0.7,0.2
O95373,Broad_detection,0.7,0.2
O95376,Other_unbalanced,0.7,0.2
O95379,Other_unbalanced,0.7,0.2
O95393,Other_unbalanced,0.7,0.2
O95394,Sparse,0.7,0.2
O95428,Other_unbalanced,0.7,0.2
O95433,Other_unbalanced,0.7,0.2
O95445,Broad_detection,0.7,0.2
O95450,Other_unbalanced,0.7,0.2
O95456,Other_unbalanced,0.7,0.2
O95466,Broad_detection,0.7,0.2
O95479,Other_unbalanced,0.7,0.2
O95497,Other_unbalanced,0.7,0.2
O95498,Broad_detection,0.7,0.2
O95571,Sparse,0.7,0.2
O95573,Other_unbalanced,0.7,0.2
O95630,Other_unbalanced,0.7,0.2
O95671,Sparse,0.7,0.2
O95674,Sparse,0.7,0.2
O95714,Broad_detection,0.7,0.2
O95715,Broad_detection,0.7,0.2
O95721,Other_unbalanced,0.7,0.2
O95744,Broad_detection,0.7,0.2
O95747,Broad_detection,0.7,0.2
O95757,Sparse,0.7,0.2
O95777,Sparse,0.7,0.2
O95782,Broad_detection,0.7,0.2
O95793,Other_unbalanced,0.7,0.2
O95803;Q9H3R1,Other_unbalanced,0.7,0.2
O95810,Broad_detection,0.7,0.2
O95819,Other_unbalanced,0.7,0.2
O95831,Other_unbalanced,0.7,0.2
O95834,Other_unbalanced,0.7,0.2
O95861,Sparse,0.7,0.2
O95865,Other_unbalanced,0.7,0.2
O95866,Other_unbalanced,0.7,0.2
O95870,Other_unbalanced,0.7,0.2
O95897,Other_unbalanced,0.7,0.2
O95954,Other_unbalanced,0.7,0.2
O95967,Broad_detection,0.7,0.2
O95969,Other_unbalanced,0.7,0.2
O95989,Sparse,0.7,0.2
O96000,Sparse,0.7,0.2
O96007,Sparse,0.7,0.2
O96019,Sparse,0.7,0.2
P00167,Other_unbalanced,0.7,0.2
P00325,Broad_detection,0.7,0.2
P00326,Broad_detection,0.7,0.2
P00338,Broad_detection,0.7,0.2
P00352,Broad_detection,0.7,0.2
P00367,Other_unbalanced,0.7,0.2
P00387,Broad_detection,0.7,0.2
P00390,Other_unbalanced,0.7,0.2
P00403,Other_unbalanced,0.7,0.2
P00441,Other_unbalanced,0.7,0.2
P00450,Broad_detection,0.7,0.2
P00451,Broad_detection,0.7,0.2
P00488,Broad_detection,0.7,0.2
P00491,Broad_detection,0.7,0.2
P00492,Broad_detection,0.7,0.2
P00505,Other_unbalanced,0.7,0.2
P00558,Broad_detection,0.7,0.2
P00568,Broad_detection,0.7,0.2
P00734,Broad_detection,0.7,0.2
P00736,Broad_detection,0.7,0.2
P00738,Broad_detection,0.7,0.2
P00739,Broad_detection,0.7,0.2
P00740,Broad_detection,0.7,0.2
P00742,Broad_detection,0.7,0.2
P00746,Broad_detection,0.7,0.2
P00747,Broad_detection,0.7,0.2
P00748,Broad_detection,0.7,0.2
P00751,Broad_detection,0.7,0.2
P00846,Sparse,0.7,0.2
P00915,Broad_detection,0.7,0.2
P00918,Broad_detection,0.7,0.2
P00966,Broad_detection,0.7,0.2
P01008,Broad_detection,0.7,0.2
P01009,Broad_detection,0.7,0.2
P01011,Broad_detection,0.7,0.2
P01019,Broad_detection,0.7,0.2
P01023,Broad_detection,0.7,0.2
P01024,Broad_detection,0.7,0.2
P01031,Broad_detection,0.7,0.2
P01033,Broad_detection,0.7,0.2
P01034,Broad_detection,0.7,0.2
P01040,Broad_detection,0.7,0.2
P01042,Broad_detection,0.7,0.2
P01111,Broad_detection,0.7,0.2
P01116,Broad_detection,0.7,0.2
P01130,Other_unbalanced,0.7,0.2
P01133,Other_unbalanced,0.7,0.2
P01137,Broad_detection,0.7,0.2
P01210,Sparse,0.7,0.2
P01266,Broad_detection,0.7,0.2
P01275,Broad_detection,0.7,0.2
P01303,Other_unbalanced,0.7,0.2
P01344,Broad_detection,0.7,0.2
P01350,Sparse,0.7,0.2
P01591,Broad_detection,0.7,0.2
P01593;P01594,Other_unbalanced,0.7,0.2
P01597;P04432,Broad_detection,0.7,0.2
P01599,Other_unbalanced,0.7,0.2
P01601,Other_unbalanced,0.7,0.2
P01602,Broad_detection,0.7,0.2
P01619,Broad_detection,0.7,0.2
P01624,Broad_detection,0.7,0.2
P01699,Broad_detection,0.7,0.2
P01700,Broad_detection,0.7,0.2
P01701,Broad_detection,0.7,0.2
P01703,Broad_detection,0.7,0.2
P01704,Broad_detection,0.7,0.2
P01705,Other_unbalanced,0.7,0.2
P01706,Broad_detection,0.7,0.2
P01709,Broad_detection,0.7,0.2
P01714,Broad_detection,0.7,0.2
P01715,Other_unbalanced,0.7,0.2
P01717,Broad_detection,0.7,0.2
P01721,Other_unbalanced,0.7,0.2
P01730,Other_unbalanced,0.7,0.2
P01732,Broad_detection,0.7,0.2
P01742,Other_unbalanced,0.7,0.2
P01743,Other_unbalanced,0.7,0.2
P01767,Other_unbalanced,0.7,0.2
P01780,Broad_detection,0.7,0.2
P01814,Other_unbalanced,0.7,0.2
P01817,Broad_detection,0.7,0.2
P01833,Broad_detection,0.7,0.2
P01834,Broad_detection,0.7,0.2
P01857,Broad_detection,0.7,0.2
P01859,Broad_detection,0.7,0.2
P01860,Broad_detection,0.7,0.2
P01861,Broad_detection,0.7,0.2
P01871,Broad_detection,0.7,0.2
P01876,Broad_detection,0.7,0.2
P01880,Broad_detection,0.7,0.2
P01889,Broad_detection,0.7,0.2
P01893,Broad_detection,0.7,0.2
P01903,Other_unbalanced,0.7,0.2
P01909,Sparse,0.7,0.2
P01911,Other_unbalanced,0.7,0.2
P02008,Other_unbalanced,0.7,0.2
P02042,Broad_detection,0.7,0.2
P02100,Other_unbalanced,0.7,0.2
P02144,Broad_detection,0.7,0.2
P02452,Other_unbalanced,0.7,0.2
P02458,Other_unbalanced,0.7,0.2
P02461,Other_unbalanced,0.7,0.2
P02511,Other_unbalanced,0.7,0.2
P02533,Broad_detection,0.7,0.2
P02538,Broad_detection,0.7,0.2
P02545,Broad_detection,0.7,0.2
P02549,Broad_detection,0.7,0.2
P02585,Other_unbalanced,0.7,0.2
P02647,Broad_detection,0.7,0.2
P02649,Broad_detection,0.7,0.2
P02652,Broad_detection,0.7,0.2
P02654,Broad_detection,0.7,0.2
P02655,Broad_detection,0.7,0.2
P02656,Broad_detection,0.7,0.2
P02671,Broad_detection,0.7,0.2
P02675,Broad_detection,0.7,0.2
P02679,Broad_detection,0.7,0.2
P02686,Sparse,0.7,0.2
P02724,Other_unbalanced,0.7,0.2
P02730,Broad_detection,0.7,0.2
P02741,Other_unbalanced,0.7,0.2
P02743,Broad_detection,0.7,0.2
P02745,Broad_detection,0.7,0.2
P02746,Broad_detection,0.7,0.2
P02747,Broad_detection,0.7,0.2
P02748,Broad_detection,0.7,0.2
P02749,Broad_detection,0.7,0.2
P02750,Broad_detection,0.7,0.2
P02751,Broad_detection,0.7,0.2
P02753,Broad_detection,0.7,0.2
P02760,Broad_detection,0.7,0.2
P02763,Broad_detection,0.7,0.2
P02765,Broad_detection,0.7,0.2
P02766,Broad_detection,0.7,0.2
P02768,Broad_detection,0.7,0.2
P02771,Other_unbalanced,0.7,0.2
P02774,Broad_detection,0.7,0.2
P02775,Broad_detection,0.7,0.2
P02776,Broad_detection,0.7,0.2
P02786,Broad_detection,0.7,0.2
P02787,Broad_detection,0.7,0.2
P02788,Broad_detection,0.7,0.2
P02790,Broad_detection,0.7,0.2
P02792,Sparse,0.7,0.2
P02794,Other_unbalanced,0.7,0.2
P02810,Sparse,0.7,0.2
P02818,Other_unbalanced,0.7,0.2
P03950,Broad_detection,0.7,0.2
P03951,Broad_detection,0.7,0.2
P03952,Broad_detection,0.7,0.2
P03956,Other_unbalanced,0.7,0.2
P04003,Broad_detection,0.7,0.2
P04004,Broad_detection,0.7,0.2
P04040,Broad_detection,0.7,0.2
P04049,Sparse,0.7,0.2
P04062,Broad_detection,0.7,0.2
P04066,Other_unbalanced,0.7,0.2
P04070,Broad_detection,0.7,0.2
P04075,Broad_detection,0.7,0.2
P04080,Other_unbalanced,0.7,0.2
P04083,Broad_detection,0.7,0.2
P04114,Broad_detection,0.7,0.2
P04156,Broad_detection,0.7,0.2
P04179,Other_unbalanced,0.7,0.2
P04180,Broad_detection,0.7,0.2
P04196,Broad_detection,0.7,0.2
P04211,Broad_detection,0.7,0.2
P04217,Broad_detection,0.7,0.2
P04233,Broad_detection,0.7,0.2
P04259,Broad_detection,0.7,0.2
P04264,Broad_detection,0.7,0.2
P04275,Broad_detection,0.7,0.2
P04278,Broad_detection,0.7,0.2
P04279,Other_unbalanced,0.7,0.2
P04350,Broad_detection,0.7,0.2
P04406,Broad_detection,0.7,0.2
P04424,Other_unbalanced,0.7,0.2
P04430,Other_unbalanced,0.7,0.2
P04439,Broad_detection,0.7,0.2
P04632,Broad_detection,0.7,0.2
P04746,Sparse,0.7,0.2
