"Protein","UniqueSampleID","Exposure","Log2_abundance"
"Q8TC71","20250914_FJ_PT_P24","Long exposure",12.6936492335282
"Q8TC71","20250914_FJ_PT_P25","Short exposure",
"Q8TC71","20250914_FJ_PT_P26","Long exposure",12.7288709912504
"Q8TC71","20250914_FJ_PT_P27","Long exposure",12.8022413268993
"Q8TC71","20250914_FJ_PT_P29","Long exposure",12.6611892041228
"Q8TC71","20250914_FJ_PT_P30","Long exposure",13.3963565332331
"Q8TC71","20250914_FJ_PT_P33","Long exposure",12.2185493424079
"Q8TC71","20251001_FJ_FQ_F83","Short exposure",12.3257643942626
"Q8TC71","20251001_FJ_FQ_F95","Long exposure",
"Q8TC71","20251001_FJ_FQ_F97","Long exposure",11.771066057714
"Q8TC71","20251001_FJ_FQ_F105","Long exposure",11.0811983177651
"Q8TC71","20251001_FJ_FQ_F120","Long exposure",12.0614802994139
"Q8TC71","20251001_FJ_FQ_F136","Control",11.2156959184336
"Q8TC71","20251001_FJ_FQ_F141","Control",13.1468274965025
"Q8TC71","20251001_FJ_FQ_F147","Long exposure",12.7680366835283
"Q8TC71","20251001_FJ_FQ_F150","Control",
"Q8TC71","20251001_FJ_FQ_F154","Long exposure",13.2204717679034
"Q8TC71","20251001_FJ_FQ_F158","Long exposure",
"Q8TC71","20251001_FJ_FQ_F163","Control",10.6284537726831
"Q8TC71","20251001_FJ_FQ_F165","Control",13.2167189234374
"Q8TC71","20251001_FJ_FQ_F168","Long exposure",12.0638808662328
"Q8TC71","20251001_FJ_FQ_F170","Control",12.3102408221793
"Q8TC71","20251001_FJ_FQ_F173","Short exposure",13.8511716121305
"Q8TC71","20251001_FJ_FQ_F174","Short exposure",14.1089090085797
"Q8TC71","20251001_FJ_FQ_F175","Short exposure",12.6011716172207
"Q8TC71","20251001_FJ_FQ_F176","Short exposure",
"Q8TC71","20251001_FJ_FQ_F177","Short exposure",12.6953093339172
"Q8TC71","20251001_FJ_FQ_F180","Short exposure",13.2058193450892
"Q8TC71","20251001_FJ_FQ_F183","Short exposure",12.6775236277412
"Q8TC71","20251001_FJ_FQ_F185","Short exposure",14.0566216749369
"Q8TC71","20251001_XZ_YA_1","Short exposure",
"Q8TC71","20251001_XZ_YA_2","Short exposure",
"Q8TC71","20251001_XZ_YA_3","Short exposure",
"Q8TC71","20251001_XZ_YA_4","Short exposure",12.0144644246123
"Q8TC71","20251001_XZ_YA_5","Short exposure",
"Q8TC71","20251001_XZ_YA_6","Short exposure",14.068506708155
"Q8TC71","20251001_XZ_YA_7","Short exposure",12.1134259912829
"Q8TC71","20251001_XZ_YA_8","Short exposure",12.4516110782031
"Q8TC71","20251001_XZ_YA_9","Short exposure",13.7171945493399
"Q8TC71","20251001_XZ_YA_10","Short exposure",14.3166044334339
"Q8TC71","20251001_XZ_YA_11","Short exposure",11.9053882904937
"Q8TC71","20251001_XZ_YA_12","Short exposure",14.3357504361003
"Q8TC71","20251001_XZ_YA_13","Short exposure",14.2985194867265
"Q8TC71","20251001_XZ_YA_14","Short exposure",14.1380953666205
"Q8TC71","20251001_XZ_YA_15","Short exposure",14.8941777418449
"Q8TC71","20251001_XZ_YA_16","Short exposure",13.4532123481337
"Q8TC71","20251001_XZ_YA_17","Short exposure",13.0134470613587
"Q8TC71","20251001_XZ_YA_18","Short exposure",14.0381944452314
"Q8TC71","20251001_XZ_YA_19","Short exposure",
"Q8TC71","20251001_XZ_YA_20","Control",
"Q8TC71","20251001_XZ_YA_21","Control",13.0782286786137
"Q8TC71","20251001_XZ_YA_22","Long exposure",
"Q8TC71","20251001_XZ_YB_2","Control",13.286456519346
"Q8TC71","20251001_XZ_YB_4","Control",
"Q8TC71","20251001_XZ_YB_6","Control",13.2799287628468
"Q8TC71","20251001_XZ_YB_9","Control",12.8769661450756
"Q8TC71","20251001_XZ_YB_10","Control",13.3231228107008
"Q8TC71","20251001_XZ_YB_11","Control",12.6775690046937
"Q8TC71","20251001_XZ_YB_12","Control",11.9160024319814
"Q8TC71","20251001_XZ_YB_14","Control",13.0434155085163
"Q8TC71","20251001_XZ_YB_15","Control",12.753366833003
"Q8TC71","20251001_XZ_YB_19","Control",12.2562727664619
"Q8TC71","20251001_XZ_YC_1","Control",12.789277615681
"Q8TC71","20251001_XZ_YC_2","Control",13.9791801553803
"Q8TC71","20251001_XZ_YC_3","Long exposure",14.0233971825726
"Q8TC71","20251001_XZ_YC_4","Control",13.3295468613622
"Q8TC71","20251001_XZ_YC_5","Long exposure",14.090325998102
"Q8TC71","20251001_XZ_YC_6","Short exposure",12.6779594885728
"Q8TC71","20251001_XZ_YC_7","Short exposure",12.9723336410147
"Q8TC71","20251001_XZ_YC_8","Control",13.6922722853399
"Q8TC71","20251001_XZ_YC_9","Short exposure",10.1619801926258
"Q8TC71","20251001_XZ_YC_10","Long exposure",
"Q8TC71","20251001_XZ_YC_11","Long exposure",11.8571991992859
"Q8TC71","20251001_XZ_YC_12","Long exposure",13.653493372354
"Q8TC71","20251001_XZ_YC_13","Long exposure",13.457104036283
"Q8TC71","20251001_XZ_YC_14","Long exposure",13.5560685192829
"Q8TC71","20251001_XZ_YC_15","Long exposure",13.2046562119392
"Q8TC71","20251001_XZ_YC_16","Long exposure",13.6283676623788
"Q8TC71","20251001_XZ_YC_17","Long exposure",13.7189071009713
"Q8TC71","20251001_XZ_YC_18","Short exposure",13.2188208381498
"Q8TC71","20251001_XZ_YC_19","Long exposure",13.5023972281869
"Q8TC71","20251001_XZ_YC_20","Short exposure",11.6623897880777
"Q8TC71","20251001_XZ_YC_21","Long exposure",12.6805538648627
"Q8TC71","20251001_XZ_YC_22","Long exposure",13.8408087473581
"Q8TC71","20251001_XZ_YC_23","Short exposure",13.5744530942438
"Q8TC71","20251001_XZ_YC_24","Long exposure",13.075677933073
"Q8TC71","20251001_XZ_YC_25","Long exposure",13.0369511393358
"Q8TC71","20251001_XZ_YC_26","Long exposure",13.6488692533404
"Q8TC71","20251001_XZ_YC_27","Long exposure",10.2940202226305
"Q8TC71","20251001_XZ_YC_28","Long exposure",11.8940637330948
"Q8TC71","20251001_XZ_YC_29","Long exposure",11.0227983721645
"Q8TC71","20251001_XZ_YC_30","Short exposure",12.6056290570637
"Q8TC71","20251001_XZ_YC_31","Control",
"Q8TC71","20251001_XZ_YC_32","Long exposure",13.0695256509961
"Q8TC71","20251001_XZ_YC_33","Long exposure",13.4547772100139
"Q8TC71","20251001_XZ_YC_34","Control",12.8401265335911
"Q8TC71","20251001_XZ_YD_1","Short exposure",14.5332288397166
"Q8TC71","20251001_XZ_YD_3","Control",12.6528171888838
"Q8TC71","20251001_XZ_YD_4","Control",13.2168171884765
"Q8TC71","20251001_XZ_YD_5","Short exposure",11.7556294610675
"Q8TC71","20251001_XZ_YD_6","Control",11.9417050481925
"Q8TC71","20251001_XZ_YD_7","Long exposure",13.3771153217895
"Q8TC71","20251001_XZ_YD_8","Long exposure",
"Q8TC71","20251001_XZ_YD_9","Long exposure",
"Q8TC71","20251001_XZ_YD_10","Long exposure",13.0644196131451
"Q8TC71","20251001_XZ_YD_11","Long exposure",14.4788387290547
"Q8TC71","20251001_XZ_YD_12","Control",13.8081827563969
"Q8TC71","20251001_XZ_YD_13","Control",13.5937439840282
"Q8TC71","20251001_XZ_YD_14","Control",13.938816017581
"Q8TC71","20251001_XZ_YD_15","Short exposure",
"Q8TC71","20251001_XZ_YD_16","Long exposure",14.0111103558126
"Q8TC71","20251001_XZ_YD_17","Short exposure",13.962618755073
"Q8TC71","20251001_XZ_YD_18","Long exposure",14.6905837494844
"Q8TC71","20251001_XZ_YD_19","Control",13.2789588401625
"Q8TC71","20251001_XZ_YD_20","Control",13.2753260073649
"Q8TC71","20251001_XZ_YD_21","Control",13.7668450029597
"Q8TC71","20251001_XZ_YD_22","Control",
"Q8TC71","20251001_XZ_YD_23","Short exposure",14.5229651874444
"Q8TC71","20251001_XZ_YD_24","Short exposure",12.9725519762916
"Q8TC71","20251001_XZ_YD_25","Short exposure",
"Q8TC71","20251001_XZ_YD_26","Short exposure",12.5940464003934
"Q8TC71","20251001_XZ_YD_27","Short exposure",
"Q8TC71","20251001_XZ_YD_28","Short exposure",13.8415821026041
"Q8TC71","20251026_FJ_PT_P31","Control",13.0847829278128
"Q8TC71","20251026_FJ_QZ_Q73","Control",11.9614582614203
"Q8TC71","20251026_FJ_QZ_Q74","Short exposure",12.3078172717324
"Q8TC71","20251026_FJ_QZ_Q75","Short exposure",12.8494376499518
"Q8TC71","20251026_FJ_QZ_Q76","Long exposure",12.3316473865322
"Q8TC71","20251026_FJ_QZ_Q77","Long exposure",
"Q8TC71","20251026_FJ_QZ_Q78","Long exposure",12.1382592989479
"Q8TC71","20251026_FJ_QZ_Q79","Control",12.3484916555374
"Q8TC71","20251026_FJ_QZ_Q80","Short exposure",12.6032560811675
"Q8TC71","20251026_FJ_QZ_Q81","Short exposure",12.5079539289177
"Q8TC71","20251026_FJ_QZ_Q82","Control",11.7749585357457
"Q8TC71","20251026_FJ_QZ_Q83","Control",
"Q8TC71","20251104_FJ_FQ_F178","Short exposure",13.3981706328434
"Q8TC71","20251104_FJ_FQ_F179","Long exposure",13.6906890278936
"Q8TC71","20251107_XZ_YD_2","Short exposure",12.3142225431276
"Q8TC71","20260527_XZ_GG_1","Short exposure",9.36305701384995
"Q8TC71","20260527_XZ_GG_2","Short exposure",10.8070089497594
"Q8TC71","20260527_XZ_GG_3","Short exposure",10.0298494904527
"Q8TC71","20260527_XZ_GG_4","Short exposure",10.6038169298489
"Q8TC71","20260527_XZ_GG_5","Short exposure",10.3663921229784
"Q8TC71","20260527_XZ_GG_6","Short exposure",
"Q8TC71","20260527_XZ_GG_7","Short exposure",8.00141283338665
"Q8TC71","20260527_XZ_GG_8","Short exposure",10.3980093210628
"Q8TC71","20260527_XZ_GG_9","Short exposure",
"Q8TC71","20260527_XZ_GG_10","Short exposure",
"Q8TC71","20260527_XZ_GG_11","Short exposure",10.8769486330749
"Q8TC71","20260527_XZ_GG_12","Short exposure",13.0140838277315
"Q8TC71","20260527_XZ_GG_13","Short exposure",12.7188029213257
"Q8TC71","20260527_XZ_GG_14","Short exposure",10.21935008578
"Q8TC71","20260527_XZ_GG_15","Short exposure",10.7882306369678
"Q8TC71","20260527_XZ_GG_16","Short exposure",11.38287293395
"Q8TC71","20260527_XZ_GG_17","Short exposure",12.0585546370145
"Q8TC71","20260527_XZ_GG_18","Short exposure",10.5353439677905
"Q8TC71","20260527_XZ_GG_19","Short exposure",
"Q8TC71","20260527_XZ_GG_20","Short exposure",9.77625972313878
"Q8TC71","20260527_XZ_GG_21","Short exposure",10.6430040048766
"Q8TC71","20260527_XZ_GG_22","Short exposure",12.5950283036466
"Q8TC71","20260527_XZ_GG_23","Short exposure",8.95407878042304
"Q8TC71","20260527_XZ_GG_24","Short exposure",13.2750072351173
"Q8TC71","20260527_XZ_GG_25","Short exposure",7.06606964077503
"Q8TC71","20260527_XZ_GG_26","Short exposure",10.6144762095813
"Q8TC71","20260527_XZ_GG_27","Short exposure",12.0165398475979
"Q8TC71","20260527_XZ_GG_28","Short exposure",
"Q8TC71","20260527_XZ_GG_29","Short exposure",
"Q8TC71","20260527_XZ_GG_30","Short exposure",10.9534026196318
"Q8TC71","20260527_XZ_GG_31","Long exposure",
"Q8TC71","20260527_XZ_GG_32","Long exposure",8.78396349373786
"Q8TC71","20260527_XZ_GG_33","Long exposure",12.6384595572034
"Q8TC71","20260527_XZ_GG_34","Long exposure",
"Q8TC71","20260527_XZ_GG_35","Long exposure",8.50920404295927
"Q8TC71","20260527_XZ_GG_36","Long exposure",9.30443530061195
"Q8TC71","20260527_XZ_GG_37","Long exposure",
"Q8TC71","20260527_XZ_GG_38","Long exposure",10.9949135140664
"Q8TC71","20260527_XZ_GG_39","Long exposure",
"Q8TC71","20260527_XZ_GG_40","Long exposure",
"Q8TC71","20260527_XZ_GG_41","Long exposure",
"Q8TC71","20260527_XZ_GG_42","Long exposure",
"Q8TC71","20260527_XZ_GG_43","Long exposure",12.1949624018956
"Q8TC71","20260527_XZ_GG_44","Long exposure",8.99736953650909
"Q8TC71","20260527_XZ_GG_46","Long exposure",
"Q8TC71","20260527_XZ_GG_47","Long exposure",
"Q8TC71","20260527_XZ_GG_50","Long exposure",7.3211156953237
"Q8TC71","20260527_XZ_GG_51","Long exposure",
"Q8TC71","20260527_XZ_GG_52","Long exposure",10.7704450238146
"Q8TC71","20260527_XZ_GG_53","Long exposure",
"Q8TC71","20260527_XZ_GG_55","Long exposure",
"Q8TC71","20260527_XZ_GG_56","Long exposure",11.8229766734299
"Q8TC71","20260527_XZ_GG_59","Long exposure",
"Q8TC71","20260527_XZ_GG_60","Control",10.940702152439
