"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20251001_FJ_FQ_F183","Short exposure","Normal",,FALSE,"detected_protein_groups",2587
"20251001_FJ_FQ_F185","Short exposure","Normal",,FALSE,"detected_protein_groups",2259
"20251001_XZ_YA_1","Short exposure","Normal",,FALSE,"detected_protein_groups",2411
"20251001_XZ_YA_2","Short exposure","Normal",,FALSE,"detected_protein_groups",2186
"20251001_XZ_YA_3","Short exposure","Normal",,FALSE,"detected_protein_groups",2126
"20251001_XZ_YA_4","Short exposure","Normal",,FALSE,"detected_protein_groups",1697
"20251001_XZ_YA_5","Short exposure","Normal",,FALSE,"detected_protein_groups",2072
"20251001_XZ_YA_6","Short exposure","Normal",,FALSE,"detected_protein_groups",2691
"20251001_XZ_YA_7","Short exposure","Normal",,FALSE,"detected_protein_groups",1838
"20251001_XZ_YA_8","Short exposure","Normal",,FALSE,"detected_protein_groups",2092
"20251001_XZ_YA_9","Short exposure","Normal",,FALSE,"detected_protein_groups",2216
"20251001_XZ_YA_10","Short exposure","Normal",,FALSE,"detected_protein_groups",2668
"20251001_XZ_YA_11","Short exposure","Normal",,FALSE,"detected_protein_groups",2280
"20251001_XZ_YA_12","Short exposure","Normal",,FALSE,"detected_protein_groups",3037
"20251001_XZ_YA_13","Short exposure","Normal",,FALSE,"detected_protein_groups",2659
"20251001_XZ_YA_14","Short exposure","Normal",,FALSE,"detected_protein_groups",2583
"20251001_XZ_YA_15","Short exposure","Normal",,FALSE,"detected_protein_groups",2567
"20251001_XZ_YA_16","Short exposure","Normal",,FALSE,"detected_protein_groups",2951
"20251001_XZ_YA_17","Short exposure","Normal",,FALSE,"detected_protein_groups",2039
"20251001_XZ_YA_18","Short exposure","Normal",,FALSE,"detected_protein_groups",2660
"20251001_XZ_YA_19","Short exposure","Normal",,FALSE,"detected_protein_groups",2607
"20251001_XZ_YA_20","Control","Normal",,FALSE,"detected_protein_groups",2197
"20251001_XZ_YA_21","Control","Normal",,FALSE,"detected_protein_groups",3051
"20251001_XZ_YA_22","Long exposure","Normal",,FALSE,"detected_protein_groups",1618
"20251001_XZ_YB_2","Control","Normal",,FALSE,"detected_protein_groups",2501
"20251001_XZ_YB_4","Control","Normal",,FALSE,"detected_protein_groups",2803
"20251001_XZ_YB_6","Control","Normal",,FALSE,"detected_protein_groups",2371
"20251001_XZ_YB_9","Control","Normal",,FALSE,"detected_protein_groups",2560
"20251001_XZ_YB_10","Control","Normal",,FALSE,"detected_protein_groups",2593
"20251001_XZ_YB_11","Control","Normal",,FALSE,"detected_protein_groups",2491
"20251001_XZ_YB_12","Control","Normal",,FALSE,"detected_protein_groups",2257
"20251001_XZ_YB_14","Control","Normal",,FALSE,"detected_protein_groups",2322
"20251001_XZ_YB_15","Control","Normal",,FALSE,"detected_protein_groups",2300
"20251001_XZ_YB_19","Control","Normal",,FALSE,"detected_protein_groups",2694
"20251001_XZ_YC_1","Control","Normal",,FALSE,"detected_protein_groups",2822
"20251001_XZ_YC_2","Control","Normal",,FALSE,"detected_protein_groups",2341
"20251001_XZ_YC_3","Long exposure","Normal",,FALSE,"detected_protein_groups",2724
"20251001_XZ_YC_4","Control","Normal",,FALSE,"detected_protein_groups",2357
"20251001_XZ_YC_5","Long exposure","Normal",,FALSE,"detected_protein_groups",2444
"20251001_XZ_YC_6","Short exposure","Normal",,FALSE,"detected_protein_groups",2115
"20251001_XZ_YC_7","Short exposure","Normal",,FALSE,"detected_protein_groups",2145
"20251001_XZ_YC_8","Control","Normal",,FALSE,"detected_protein_groups",2252
"20251001_XZ_YC_9","Short exposure","Normal",,FALSE,"detected_protein_groups",1685
"20251001_XZ_YC_10","Long exposure","Normal",,FALSE,"detected_protein_groups",2441
"20251001_XZ_YC_11","Long exposure","Normal",,FALSE,"detected_protein_groups",2061
"20251001_XZ_YC_12","Long exposure","Normal",,FALSE,"detected_protein_groups",2756
"20251001_XZ_YC_13","Long exposure","Normal",,FALSE,"detected_protein_groups",2343
"20251001_XZ_YC_14","Long exposure","Normal",,FALSE,"detected_protein_groups",2050
"20251001_XZ_YC_15","Long exposure","Normal",,FALSE,"detected_protein_groups",3007
"20251001_XZ_YC_16","Long exposure","Normal",,FALSE,"detected_protein_groups",3071
"20251001_XZ_YC_17","Long exposure","Normal",,FALSE,"detected_protein_groups",2318
"20251001_XZ_YC_18","Short exposure","Normal",,FALSE,"detected_protein_groups",1783
"20251001_XZ_YC_19","Long exposure","Normal",,FALSE,"detected_protein_groups",2193
"20251001_XZ_YC_20","Short exposure","Normal",,FALSE,"detected_protein_groups",2439
"20251001_XZ_YC_21","Long exposure","Normal",,FALSE,"detected_protein_groups",2701
"20251001_XZ_YC_22","Long exposure","Normal",,FALSE,"detected_protein_groups",2144
"20251001_XZ_YC_23","Short exposure","Normal",,FALSE,"detected_protein_groups",2016
"20251001_XZ_YC_24","Long exposure","Normal",,FALSE,"detected_protein_groups",2086
"20251001_XZ_YC_25","Long exposure","Normal",,FALSE,"detected_protein_groups",2012
"20251001_XZ_YC_26","Long exposure","Normal",,FALSE,"detected_protein_groups",2266
"20251001_XZ_YC_27","Long exposure","Normal",,FALSE,"detected_protein_groups",1465
"20251001_XZ_YC_28","Long exposure","Normal",,FALSE,"detected_protein_groups",2205
"20251001_XZ_YC_29","Long exposure","Normal",,FALSE,"detected_protein_groups",2702
"20251001_XZ_YC_30","Short exposure","Normal",,FALSE,"detected_protein_groups",2477
"20251001_XZ_YC_31","Control","Normal",,FALSE,"detected_protein_groups",2780
