"Protein","GeneSymbol","GeneNames_UniProt","ProteinName","UniProt_mapped","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","Pattern_display","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"P04004","VTN","VTN","Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]",TRUE,18.2760434997392,153,153,18.4771496164669,186,186,18.1661053214134,176,176,0.201106116727733,-0.311044295053513,-0.10993817832578,"Short_peak","Short-high profile",-0.272652972367123,0.0044124299371178,2,0.05
"Q6P4E1","GOLM2","GOLM2 CASC4 UNQ2573/PRO6308","Protein GOLM2 (Cancer susceptibility candidate gene 4 protein) (CASC4) (Golgi membrane protein 2)",TRUE,11.3595676209531,153,153,11.4139971640663,186,186,11.1242284169074,176,176,0.054429543113244,-0.289768747158911,-0.235339204045667,"Short_peak","Short-high profile",-0.2898375651728,0.00441702037030292,2,0.05
"O95196","CSPG5","CSPG5 CALEB NGC","Chondroitin sulfate proteoglycan 5 (Acidic leucine-rich EGF-like domain-containing brain protein) (Neuroglycan C)",TRUE,9.53287286319273,149,153,9.73340013945715,179,186,9.38546305380333,171,176,0.20052727626442,-0.34793708565382,-0.1474098093894,"Short_peak","Short-high profile",-0.320096612381255,0.00443006302497877,2,0.05
"Q5JRA6","MIA3","MIA3 KIAA0268 TANGO UNQ6077/PRO20088","Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)",TRUE,10.9918440754988,153,153,11.3454401237785,186,186,10.9609374169552,176,176,0.35359604827962,-0.384502706823302,-0.0309066585436817,"Short_peak","Short-high profile",-0.329167581397352,0.00443006302497877,2,0.05
"Q9H251","CDH23","CDH23 KIAA1774 KIAA1812 UNQ1894/PRO4340","Cadherin-23 (Otocadherin)",TRUE,10.1884972008649,153,153,10.3515701404591,186,186,9.97478153961667,176,176,0.163072939594251,-0.376788600842444,-0.213715661248193,"Short_peak","Short-high profile",-0.340042349521346,0.00443006302497877,2,0.05
"P08294","SOD3","SOD3","Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1)",TRUE,9.48916076316838,153,153,9.74408839783027,186,186,9.41203882637789,176,176,0.254927634661886,-0.33204957145238,-0.0771219367904941,"Short_peak","Short-high profile",-0.314605377643598,0.00443006302497877,2,0.05
"P08493","MGP","MGP MGLAP GIG36","Matrix Gla protein (MGP) (Cell growth-inhibiting gene 36 protein)",TRUE,14.5188352093539,153,153,14.6699177562703,186,186,14.3297730472265,176,176,0.15108254691641,-0.340144709043804,-0.189062162127394,"Short_peak","Short-high profile",-0.31932544773318,0.00443006302497877,2,0.05
"Q8IUX7","AEBP1","AEBP1 ACLP","Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein)",TRUE,10.867855919097,153,153,10.9949510403951,186,186,10.7057082737211,176,176,0.127095121298115,-0.289242766674011,-0.162147645375896,"Short_peak","Short-high profile",-0.291694663019666,0.00464220544740407,2,0.05
"P49747","COMP","COMP","Cartilage oligomeric matrix protein (COMP) (Thrombospondin-5) (TSP5)",TRUE,15.0222889432226,153,153,15.2204640791973,186,186,14.9084318102471,176,176,0.198175135974692,-0.312032268950238,-0.113857132975546,"Short_peak","Short-high profile",-0.318139621116435,0.00499848821147557,2,0.05
"Q9HC84","MUC5B","MUC5B MUC5","Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",TRUE,8.68356024530913,150,153,9.09396058330631,183,186,8.46703440630935,171,176,0.410400337997173,-0.626926176996957,-0.216525838999784,"Short_peak","Short-high profile",-0.558904752870545,0.00513533483371889,2,0.05
"Q8IZF2","ADGRF5","ADGRF5 GPR116 KIAA0758","Adhesion G protein-coupled receptor F5 (G protein-coupled receptor 116)",TRUE,10.51049414678,153,153,10.5998475340376,186,186,10.3138158603591,176,176,0.0893533872576295,-0.286031673678519,-0.196678286420889,"Short_peak","Short-high profile",-0.285626412674647,0.00513533483371889,2,0.05
