"Protein","N_observed_Control","N_total_Control","N_observed_Short","N_total_Short","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2","Baseline","Exposure","Abundance","Centered_log2"
"Q8TER0",153,153,186,186,176,176,0.358896984890583,-0.293591108967451,0.0653058759231318,"Short_peak",-0.239364621682418,0.0369051920761932,"2.0",0.05,9.19663988861601,"Control",9.05523893501144,-0.141400953604572
"Q8TER0",153,153,186,186,176,176,0.358896984890583,-0.293591108967451,0.0653058759231318,"Short_peak",-0.239364621682418,0.0369051920761932,"2.0",0.05,9.19663988861601,"Short",9.41413591990202,0.217496031286011
"Q8TER0",153,153,186,186,176,176,0.358896984890583,-0.293591108967451,0.0653058759231318,"Short_peak",-0.239364621682418,0.0369051920761932,"2.0",0.05,9.19663988861601,"Long",9.12054481093457,-0.0760950776814404
"Q9NPG4",153,153,186,186,176,176,0.211722434197409,-0.299458771768865,-0.0877363375714566,"Short_peak",-0.285387676214157,0.0369051920761932,"2.0",0.05,9.58670353167754,"Control",9.54537483280223,-0.0413286988753168
"Q9NPG4",153,153,186,186,176,176,0.211722434197409,-0.299458771768865,-0.0877363375714566,"Short_peak",-0.285387676214157,0.0369051920761932,"2.0",0.05,9.58670353167754,"Short",9.75709726699964,0.170393735322092
"Q9NPG4",153,153,186,186,176,176,0.211722434197409,-0.299458771768865,-0.0877363375714566,"Short_peak",-0.285387676214157,0.0369051920761932,"2.0",0.05,9.58670353167754,"Long",9.45763849523077,-0.129065036446773
"P08575",153,153,186,186,176,176,0.158696167463468,-0.279425774993351,-0.120729607529883,"Short_peak",-0.207999322792395,0.0369051920761932,"2.0",0.05,10.3594164326297,"Control",10.3467609126518,-0.0126555199778622
"P08575",153,153,186,186,176,176,0.158696167463468,-0.279425774993351,-0.120729607529883,"Short_peak",-0.207999322792395,0.0369051920761932,"2.0",0.05,10.3594164326297,"Short",10.5054570801153,0.146040647485606
"P08575",153,153,186,186,176,176,0.158696167463468,-0.279425774993351,-0.120729607529883,"Short_peak",-0.207999322792395,0.0369051920761932,"2.0",0.05,10.3594164326297,"Long",10.2260313051219,-0.133385127507745
"Q9UBP4",153,153,186,186,176,176,0.140992132977262,-0.278082429637275,-0.137090296660013,"Short_peak",-0.233401783000335,0.0370321772677373,"2.0",0.05,10.6141186476326,"Control",10.6128180355268,-0.00130061210574972
"Q9UBP4",153,153,186,186,176,176,0.140992132977262,-0.278082429637275,-0.137090296660013,"Short_peak",-0.233401783000335,0.0370321772677373,"2.0",0.05,10.6141186476326,"Short",10.7538101685041,0.139691520871512
"Q9UBP4",153,153,186,186,176,176,0.140992132977262,-0.278082429637275,-0.137090296660013,"Short_peak",-0.233401783000335,0.0370321772677373,"2.0",0.05,10.6141186476326,"Long",10.4757277388668,-0.138390908765762
"P41222",153,153,186,186,176,176,0.20561708614505,-0.24280869582717,-0.0371916096821199,"Short_peak",-0.194943625925434,0.0379146367242385,"2.0",0.05,9.69644942956202,"Control",9.64030760407438,-0.0561418254876429
"P41222",153,153,186,186,176,176,0.20561708614505,-0.24280869582717,-0.0371916096821199,"Short_peak",-0.194943625925434,0.0379146367242385,"2.0",0.05,9.69644942956202,"Short",9.84592469021943,0.149475260657407
"P41222",153,153,186,186,176,176,0.20561708614505,-0.24280869582717,-0.0371916096821199,"Short_peak",-0.194943625925434,0.0379146367242385,"2.0",0.05,9.69644942956202,"Long",9.60311599439226,-0.0933334351697628
"Q13609",147,153,182,186,169,176,0.2112982092417,-0.363283272683604,-0.151985063441904,"Short_peak",-0.333635306522108,0.0379146367242385,"2.0",0.05,7.51290904158035,"Control",7.49313799298042,-0.0197710485999316
"Q13609",147,153,182,186,169,176,0.2112982092417,-0.363283272683604,-0.151985063441904,"Short_peak",-0.333635306522108,0.0379146367242385,"2.0",0.05,7.51290904158035,"Short",7.70443620222212,0.191527160641768
"Q13609",147,153,182,186,169,176,0.2112982092417,-0.363283272683604,-0.151985063441904,"Short_peak",-0.333635306522108,0.0379146367242385,"2.0",0.05,7.51290904158035,"Long",7.34115292953852,-0.171756112041836
"O75339",153,153,186,186,176,176,0.195611498278973,-0.301208310260536,-0.105596811981563,"Short_peak",-0.27351369897152,0.0380328957309912,"2.0",0.05,9.72525474505195,"Control",9.69524984961948,-0.0300048954324694
"O75339",153,153,186,186,176,176,0.195611498278973,-0.301208310260536,-0.105596811981563,"Short_peak",-0.27351369897152,0.0380328957309912,"2.0",0.05,9.72525474505195,"Short",9.89086134789845,0.165606602846504
"O75339",153,153,186,186,176,176,0.195611498278973,-0.301208310260536,-0.105596811981563,"Short_peak",-0.27351369897152,0.0380328957309912,"2.0",0.05,9.72525474505195,"Long",9.58965303763792,-0.135601707414033
"P08238",153,153,186,186,176,176,0.032395160330374,-0.231885824285117,-0.199490663954743,"Long_suppression",-0.234764218216146,0.0381900572030871,"2.0",0.05,12.9440484813587,"Control",12.9997469825668,0.0556985012081217
"P08238",153,153,186,186,176,176,0.032395160330374,-0.231885824285117,-0.199490663954743,"Long_suppression",-0.234764218216146,0.0381900572030871,"2.0",0.05,12.9440484813587,"Short",13.0321421428972,0.0880936615384957
"P08238",153,153,186,186,176,176,0.032395160330374,-0.231885824285117,-0.199490663954743,"Long_suppression",-0.234764218216146,0.0381900572030871,"2.0",0.05,12.9440484813587,"Long",12.8002563186121,-0.143792162746621
"Q99542",153,153,186,186,176,176,0.219286255037627,-0.316384232993459,-0.0970979779558316,"Short_peak",-0.241552947574224,0.0382458119101941,"2.0",0.05,11.0201303768595,"Control",10.9794009511655,-0.0407294256939306
"Q99542",153,153,186,186,176,176,0.219286255037627,-0.316384232993459,-0.0970979779558316,"Short_peak",-0.241552947574224,0.0382458119101941,"2.0",0.05,11.0201303768595,"Short",11.1986872062032,0.178556829343696
"Q99542",153,153,186,186,176,176,0.219286255037627,-0.316384232993459,-0.0970979779558316,"Short_peak",-0.241552947574224,0.0382458119101941,"2.0",0.05,11.0201303768595,"Long",10.8823029732097,-0.137827403649762
"P04233",152,153,186,186,173,176,0.165263012466395,-0.247752159448616,-0.0824891469822209,"Short_peak",-0.222200729948437,0.0382458119101941,"2.0",0.05,9.29429462844351,"Control",9.26670333994879,-0.0275912884947243
"P04233",152,153,186,186,173,176,0.165263012466395,-0.247752159448616,-0.0824891469822209,"Short_peak",-0.222200729948437,0.0382458119101941,"2.0",0.05,9.29429462844351,"Short",9.43196635241518,0.137671723971671
"P04233",152,153,186,186,173,176,0.165263012466395,-0.247752159448616,-0.0824891469822209,"Short_peak",-0.222200729948437,0.0382458119101941,"2.0",0.05,9.29429462844351,"Long",9.18421419296657,-0.110080435476945
"O60245",125,153,163,186,143,176,0.236468019013087,-0.359231390368618,-0.122763371355531,"Short_peak",-0.330959017285474,0.0382909821776414,"2.0",0.05,6.85570873235193,"Control",6.81780718313274,-0.0379015492191845
"O60245",125,153,163,186,143,176,0.236468019013087,-0.359231390368618,-0.122763371355531,"Short_peak",-0.330959017285474,0.0382909821776414,"2.0",0.05,6.85570873235193,"Short",7.05427520214583,0.198566469793902
"O60245",125,153,163,186,143,176,0.236468019013087,-0.359231390368618,-0.122763371355531,"Short_peak",-0.330959017285474,0.0382909821776414,"2.0",0.05,6.85570873235193,"Long",6.69504381177721,-0.160664920574716
"Q7Z7M9",144,153,179,186,160,176,0.168394406068026,-0.241265229380034,-0.0728708233120079,"Short_peak",-0.233993591837632,0.0382909821776414,"2.0",0.05,7.50399616549976,"Control",7.47215497124775,-0.0318411942520056
"Q7Z7M9",144,153,179,186,160,176,0.168394406068026,-0.241265229380034,-0.0728708233120079,"Short_peak",-0.233993591837632,0.0382909821776414,"2.0",0.05,7.50399616549976,"Short",7.64054937731578,0.136553211816021
"Q7Z7M9",144,153,179,186,160,176,0.168394406068026,-0.241265229380034,-0.0728708233120079,"Short_peak",-0.233993591837632,0.0382909821776414,"2.0",0.05,7.50399616549976,"Long",7.39928414793574,-0.104712017564013
"P39060",153,153,186,186,176,176,0.159330719871827,-0.285125769955037,-0.125795050083211,"Short_peak",-0.215702776824871,0.0389796815457881,"2.0",0.05,14.1298204469794,"Control",14.1186418903832,-0.0111785565962048
"P39060",153,153,186,186,176,176,0.159330719871827,-0.285125769955037,-0.125795050083211,"Short_peak",-0.215702776824871,0.0389796815457881,"2.0",0.05,14.1298204469794,"Short",14.2779726102551,0.148152163275622
"P39060",153,153,186,186,176,176,0.159330719871827,-0.285125769955037,-0.125795050083211,"Short_peak",-0.215702776824871,0.0389796815457881,"2.0",0.05,14.1298204469794,"Long",13.9928468403,-0.136973606679415
"Q8WWV6",153,153,186,186,175,176,0.200407866682388,-0.294129595193549,-0.0937217285111611,"Short_peak",-0.282427471328401,0.0389796815457881,"2.0",0.05,10.3159870170869,"Control",10.2804249710299,-0.0355620460570751
"Q8WWV6",153,153,186,186,175,176,0.200407866682388,-0.294129595193549,-0.0937217285111611,"Short_peak",-0.282427471328401,0.0389796815457881,"2.0",0.05,10.3159870170869,"Short",10.4808328377122,0.164845820625313
"Q8WWV6",153,153,186,186,175,176,0.200407866682388,-0.294129595193549,-0.0937217285111611,"Short_peak",-0.282427471328401,0.0389796815457881,"2.0",0.05,10.3159870170869,"Long",10.1867032425187,-0.129283774568236
"Q9BYE9",153,153,186,186,176,176,0.243453650835809,-0.391606837026906,-0.148153186191097,"Short_peak",-0.380813061372482,0.0389796815457881,"2.0",0.05,9.31561963487728,"Control",9.28385281332904,-0.0317668215482367
"Q9BYE9",153,153,186,186,176,176,0.243453650835809,-0.391606837026906,-0.148153186191097,"Short_peak",-0.380813061372482,0.0389796815457881,"2.0",0.05,9.31561963487728,"Short",9.52730646416485,0.211686829287572
"Q9BYE9",153,153,186,186,176,176,0.243453650835809,-0.391606837026906,-0.148153186191097,"Short_peak",-0.380813061372482,0.0389796815457881,"2.0",0.05,9.31561963487728,"Long",9.13569962713795,-0.179920007739334
