"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"P09619",9.9150313413001,153,153,10.3011101659468,186,186,9.90983692290465,176,176,0.386078824646694,-0.391273243042143,-0.00519441839544932,"Short_peak",-0.348245667087998,0.00759083958367728,"2.0",0.05
"Q8WWA0",11.2786135661756,153,153,11.544678662086,186,186,11.1438104913457,176,176,0.266065095910475,-0.400868170740322,-0.134803074829847,"Short_peak",-0.344883563722574,0.00759083958367728,"2.0",0.05
"Q14517",10.1598487440845,153,153,10.3494038772109,186,186,9.96614500589577,176,176,0.189555133126392,-0.383258871315084,-0.193703738188692,"Short_peak",-0.36159708067219,0.00759083958367728,"2.0",0.05
"P55290",10.5003543160375,153,153,10.8245791583233,186,186,10.4785467766616,176,176,0.32422484228573,-0.346032381661631,-0.0218075393759012,"Short_peak",-0.285866949942312,0.00759083958367728,"2.0",0.05
"P05154",11.1417604494653,153,153,11.2009299988961,186,186,10.974614495839,176,176,0.0591695494308482,-0.226315503057092,-0.167145953626244,"Short_peak",-0.251864091241194,0.00759083958367728,"2.0",0.05
"P13942",9.12691285521196,153,153,9.28421024019426,186,186,8.92294829931435,176,176,0.1572973849823,-0.361261940879906,-0.203964555897606,"Short_peak",-0.333771095662177,0.00811796949611128,"2.0",0.05
"Q9BV94",9.54201652124175,153,153,9.68979740798999,183,186,9.33613024829168,170,176,0.147780886748233,-0.353667159698309,-0.205886272950076,"Short_peak",-0.330906483518373,0.00911250129352759,"2.0",0.05
"P27797",11.9950973535055,153,153,12.0861085003532,186,186,11.8345957352029,176,176,0.0910111468476344,-0.25151276515027,-0.160501618302636,"Short_peak",-0.243937020258299,0.00911250129352759,"2.0",0.05
"Q9Y5X9",8.09864112717388,151,153,8.53269163475148,183,186,8.22439789682441,174,176,0.434050507577592,-0.308293737927062,0.125756769650529,"Short_peak",-0.276639887532323,0.00915898627091017,"2.0",0.05
"O43157",12.5096912198974,153,153,12.7299476560843,186,186,12.4182914702292,176,176,0.220256436186885,-0.311656185855085,-0.0913997496682004,"Short_peak",-0.26125899060035,0.00937302708811528,"2.0",0.05
"P12109",9.33449488513565,153,153,9.66031073075147,186,186,9.30567799194544,176,176,0.325815845615812,-0.354632738806021,-0.0288168931902089,"Short_peak",-0.278703927251083,0.00942484621013016,"2.0",0.05
"P23471",11.4870876870806,153,153,11.7236537667008,186,186,11.407543809325,176,176,0.236566079620264,-0.316109957375794,-0.0795438777555297,"Short_peak",-0.269196109156308,0.00965762177494127,"2.0",0.05
"Q14393",9.05618743491456,153,153,9.35674518519037,186,186,8.99631102638825,174,176,0.300557750275813,-0.360434158802121,-0.0598764085263088,"Short_peak",-0.423813894355977,0.0103300960643479,"2.0",0.05
"Q9BY76",7.93639783548556,148,153,8.3253154059897,180,186,7.84328896166207,163,176,0.388917570504144,-0.482026444327631,-0.0931088738234873,"Short_peak",-0.392981085620209,0.0104349010104512,"2.0",0.05
"Q08431",6.99009836209297,118,153,7.27760634249825,145,186,6.89617422796699,128,176,0.287507980405283,-0.38143211453126,-0.0939241341259773,"Short_peak",-0.322704376708656,0.0104349010104512,"2.0",0.05
"Q9BXX0",9.86031737014725,153,153,10.0020936148579,186,186,9.68105122277349,176,176,0.141776244710631,-0.321042392084397,-0.179266147373767,"Short_peak",-0.266991973434157,0.0104349010104512,"2.0",0.05
"P13611",12.9994579316977,153,153,13.1726671863225,186,186,12.8415827709787,176,176,0.173209254624791,-0.331084415343851,-0.15787516071906,"Short_peak",-0.280279878285388,0.010527025108564,"2.0",0.05
"O95967",8.86176018858441,151,153,9.01013188648739,185,186,8.70954953788815,175,176,0.14837169790299,-0.300582348599242,-0.152210650696253,"Short_peak",-0.323758496444871,0.0107862158998774,"2.0",0.05
"P12259",18.0361551747729,153,153,18.1087229031544,186,186,17.868645116733,176,176,0.0725677283815003,-0.240077786421388,-0.167510058039888,"Short_peak",-0.218536716263515,0.0107862158998774,"2.0",0.05
"Q9NRA1",9.43616266108274,153,153,9.64423874672376,186,186,9.29545303610297,176,176,0.208076085641023,-0.348785710620792,-0.140709624979769,"Short_peak",-0.305084814092639,0.0110358160031522,"2.0",0.05
"Q9NZ53",8.44809728558905,153,153,8.76525237517773,185,186,8.35722052201019,176,176,0.317155089588676,-0.408031853167536,-0.0908767635788603,"Short_peak",-0.320847273575835,0.0111062106664819,"2.0",0.05
"P12111",9.54058891636573,153,153,9.81909564413253,186,186,9.53473629247425,176,176,0.2785067277668,-0.284359351658274,-0.00585262389147445,"Short_peak",-0.235627192518967,0.011509062942843,"2.0",0.05
"O15400",8.57540542398068,152,153,8.81054695137909,184,186,8.42066186621496,171,176,0.23514152739841,-0.389885085164131,-0.154743557765721,"Short_peak",-0.327481716347751,0.0117215145948449,"2.0",0.05
"P14625",14.0089209277559,153,153,14.1861373402311,186,186,13.8835917692304,176,176,0.177216412475184,-0.302545571000714,-0.125329158525529,"Short_peak",-0.294868761956373,0.0117488855678119,"2.0",0.05
"Q6V0I7",9.77229535983592,153,153,9.96904039014962,186,186,9.59247911537575,176,176,0.196745030313696,-0.376561274773866,-0.17981624446017,"Short_peak",-0.346723746392032,0.0117488855678119,"2.0",0.05
