"Model","UniqueSampleID","Included","Environment_raw","Acquisition_raw","Age_raw","Sex_raw"
"Primary","20251001_XZ_YD_18",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_19",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_20",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_21",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_22",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_23",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_24",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_25",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_26",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_27",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_28",TRUE,"高海拔","20251001",,
"Primary","20251026_FJ_PT_P31",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q73",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q74",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q75",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q76",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q77",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q78",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q79",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q80",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q81",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q82",TRUE,"湿热","20251026",,
"Primary","20251026_FJ_QZ_Q83",TRUE,"湿热","20251026",,
"Primary","20251104_FJ_FQ_F178",TRUE,"湿热","20251104",,
"Primary","20251104_FJ_FQ_F179",TRUE,"湿热","20251104",,
"Primary","20251107_XZ_YD_2",TRUE,"高海拔","20251107",,
"Primary","20260527_XZ_GG_1",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_2",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_3",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_4",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_5",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_6",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_7",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_8",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_9",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_10",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_11",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_12",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_13",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_14",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_15",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_16",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_17",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_18",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_19",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_20",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_21",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_22",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_23",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_24",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_25",TRUE,"高海拔","20260527",,
