PG.ProteinGroups,FJ_FQ,FJ_PT,FJ_QZ,GZ_TH,XZ_GG,XZ_YA,XZ_YB,XZ_YC,XZ_YD
Q9NP59,0.02857142857142857,0.5,0.19672131147540983,0.024390243902439025,0.18181818181818182,0.36363636363636365,0.08333333333333333,0.029411764705882353,0.17857142857142858
Q9NP60,0.05714285714285714,0.11538461538461539,0.08196721311475409,0.18699186991869918,0.1958041958041958,0.13636363636363635,0.3333333333333333,0.14705882352941177,0.14285714285714285
Q9NP72,0.8,0.9230769230769231,0.8852459016393442,0.5528455284552846,0.6713286713286714,0.8636363636363636,1.0,0.8823529411764706,0.8571428571428571
Q9NP78,0.9142857142857143,0.9615384615384616,0.8852459016393442,0.8699186991869918,0.951048951048951,1.0,1.0,1.0,1.0
Q9NP79,0.2857142857142857,0.8461538461538461,0.5081967213114754,0.5447154471544715,0.7552447552447552,0.8181818181818182,1.0,0.7941176470588235,0.8214285714285714
Q9NP80,0.2857142857142857,0.5384615384615384,0.21311475409836064,0.04065040650406504,0.16783216783216784,0.6818181818181818,0.3333333333333333,0.5294117647058824,0.75
Q9NP97,0.12857142857142856,0.2692307692307692,0.16393442622950818,0.15447154471544716,0.13986013986013987,0.22727272727272727,0.3333333333333333,0.2647058823529412,0.32142857142857145
Q9NPA0,0.8428571428571429,0.8846153846153846,0.8688524590163934,0.5853658536585366,0.16083916083916083,0.5909090909090909,1.0,0.5588235294117647,0.6071428571428571
Q9NPA2,0.9714285714285714,1.0,1.0,0.36585365853658536,0.8811188811188811,0.9545454545454546,1.0,0.9705882352941176,0.9642857142857143
Q9NPC4,0.8285714285714286,0.9615384615384616,0.8688524590163934,0.6666666666666666,0.5384615384615384,0.8181818181818182,0.9166666666666666,0.8529411764705882,0.7142857142857143
Q9NPF2,0.6142857142857143,0.7307692307692307,0.6229508196721312,0.18699186991869918,0.32867132867132864,0.7272727272727273,1.0,0.7941176470588235,0.8928571428571429
Q9NPG4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NPH3,1.0,1.0,1.0,0.975609756097561,0.9300699300699301,1.0,1.0,0.9705882352941176,1.0
Q9NPP4,0.02857142857142857,0.11538461538461539,0.01639344262295082,0.08943089430894309,0.013986013986013986,0.09090909090909091,0.08333333333333333,0.058823529411764705,0.14285714285714285
Q9NPQ8,0.7857142857142857,1.0,0.9836065573770492,0.5121951219512195,0.4965034965034965,0.8181818181818182,0.75,0.7058823529411765,0.6785714285714286
Q9NPR2,0.7857142857142857,0.9615384615384616,0.6721311475409836,0.4065040650406504,0.4195804195804196,0.9090909090909091,0.8333333333333334,0.8823529411764706,0.9642857142857143
Q9NPY3,1.0,1.0,1.0,0.991869918699187,1.0,1.0,1.0,1.0,1.0
Q9NQ30,0.9714285714285714,1.0,1.0,0.991869918699187,0.993006993006993,1.0,1.0,0.9705882352941176,0.9642857142857143
Q9NQ36,0.5285714285714286,0.6153846153846154,0.5409836065573771,0.08130081300813008,0.2517482517482518,0.2727272727272727,0.9166666666666666,0.47058823529411764,0.39285714285714285
Q9NQ38,1.0,1.0,1.0,1.0,0.972027972027972,1.0,1.0,1.0,1.0
Q9NQ75,0.3,0.9230769230769231,0.3442622950819672,0.4878048780487805,0.5944055944055944,0.45454545454545453,0.75,0.5588235294117647,0.6428571428571429
Q9NQ76,1.0,1.0,1.0,0.967479674796748,0.9300699300699301,1.0,1.0,1.0,1.0
Q9NQ79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NQC3,0.4857142857142857,1.0,0.6229508196721312,0.5528455284552846,0.7412587412587412,0.5,0.75,0.6470588235294118,0.7142857142857143
Q9NQH7,0.9857142857142858,0.9615384615384616,1.0,0.967479674796748,0.9440559440559441,1.0,1.0,0.9705882352941176,0.8928571428571429
Q9NQR4,0.08571428571428572,0.19230769230769232,0.06557377049180328,0.25203252032520324,0.1888111888111888,0.3181818181818182,0.5833333333333334,0.4117647058823529,0.32142857142857145
Q9NQT8,0.12857142857142856,0.34615384615384615,0.09836065573770492,0.12195121951219512,0.15384615384615385,0.45454545454545453,0.25,0.14705882352941177,0.5
Q9NQU5,0.8285714285714286,0.8846153846153846,0.8688524590163934,0.43089430894308944,0.6083916083916084,0.9090909090909091,0.8333333333333334,0.9411764705882353,0.9285714285714286
Q9NQV8,0.7714285714285715,0.8846153846153846,0.7704918032786885,0.4634146341463415,0.6853146853146853,0.8181818181818182,0.9166666666666666,0.8529411764705882,0.6785714285714286
Q9NQW7,0.5,0.9615384615384616,0.5737704918032787,0.6422764227642277,0.5874125874125874,0.7272727272727273,0.8333333333333334,0.6764705882352942,0.75
