level,category,samples,threshold_pct,minimum_detected_samples,protein_groups,pct_of_all_protein_groups,detected_at_least_one_sample
TREAT1_clean,control,153,100,153,599,15.692952580560648,3797
TREAT1_clean,high,176,1,2,3777,98.95205658894419,3801
TREAT1_clean,high,176,10,18,3425,89.73015457165313,3801
TREAT1_clean,high,176,20,36,2936,76.91904637149594,3801
TREAT1_clean,high,176,30,53,2540,66.5444066020435,3801
TREAT1_clean,high,176,40,71,2220,58.16085931359707,3801
TREAT1_clean,high,176,50,88,1982,51.92559601781503,3801
TREAT1_clean,high,176,60,106,1715,44.930573749017555,3801
TREAT1_clean,high,176,70,124,1468,38.45952318574797,3801
TREAT1_clean,high,176,80,141,1245,32.61723866911187,3801
TREAT1_clean,high,176,90,159,986,25.831805082525545,3801
TREAT1_clean,high,176,100,176,515,13.492271417343463,3801
TREAT1_clean,low,186,1,2,3799,99.52842546502488,3815
TREAT1_clean,low,186,10,19,3395,88.94419701336128,3815
TREAT1_clean,low,186,20,38,2931,76.78805344511397,3815
TREAT1_clean,low,186,30,56,2564,67.17317264867697,3815
TREAT1_clean,low,186,40,75,2247,58.868221116059736,3815
TREAT1_clean,low,186,50,93,2023,52.99973801414723,3815
TREAT1_clean,low,186,60,112,1788,46.84307047419439,3815
TREAT1_clean,low,186,70,131,1548,40.55541000785958,3815
TREAT1_clean,low,186,80,149,1343,35.184700026198584,3815
TREAT1_clean,low,186,90,168,1075,28.163479172124706,3815
TREAT1_clean,low,186,100,186,570,14.933193607545192,3815
TREAT1_clean,unknown,4,1,1,3416,89.49436730416558,3416
TREAT1_clean,unknown,4,10,1,3416,89.49436730416558,3416
TREAT1_clean,unknown,4,20,1,3416,89.49436730416558,3416
TREAT1_clean,unknown,4,30,2,2790,73.09405292114226,3416
TREAT1_clean,unknown,4,40,2,2790,73.09405292114226,3416
TREAT1_clean,unknown,4,50,2,2790,73.09405292114226,3416
TREAT1_clean,unknown,4,60,3,2150,56.32695834424941,3416
TREAT1_clean,unknown,4,70,3,2150,56.32695834424941,3416
TREAT1_clean,unknown,4,80,4,1521,39.84804820539691,3416
TREAT1_clean,unknown,4,90,4,1521,39.84804820539691,3416
TREAT1_clean,unknown,4,100,4,1521,39.84804820539691,3416
MS_batch_proxy,20250913,50,1,1,3658,95.83442494105319,3658
MS_batch_proxy,20250913,50,10,5,3170,83.04951532617238,3658
MS_batch_proxy,20250913,50,20,10,2797,73.27744301807702,3658
MS_batch_proxy,20250913,50,30,15,2518,65.9680377259628,3658
MS_batch_proxy,20250913,50,40,20,2278,59.68037725962798,3658
MS_batch_proxy,20250913,50,50,25,2105,55.14802200681164,3658
MS_batch_proxy,20250913,50,60,30,1936,50.720461095100866,3658
MS_batch_proxy,20250913,50,70,35,1769,46.34529735394289,3658
MS_batch_proxy,20250913,50,80,40,1593,41.734346345297354,3658
MS_batch_proxy,20250913,50,90,45,1360,35.6300759758973,3658
MS_batch_proxy,20250913,50,100,50,932,24.41708147760021,3658
MS_batch_proxy,20250914,70,1,1,3756,98.4018862981399,3756
MS_batch_proxy,20250914,70,10,7,3386,88.70840974587372,3756
MS_batch_proxy,20250914,70,20,14,3046,79.8008907518994,3756
MS_batch_proxy,20250914,70,30,21,2740,71.78412365732251,3756
MS_batch_proxy,20250914,70,40,28,2486,65.12968299711815,3756
MS_batch_proxy,20250914,70,50,35,2228,58.37044799580823,3756
MS_batch_proxy,20250914,70,60,42,2010,52.6591564055541,3756
MS_batch_proxy,20250914,70,70,49,1789,46.86926905947079,3756
MS_batch_proxy,20250914,70,80,56,1553,40.68640293424155,3756
MS_batch_proxy,20250914,70,90,63,1279,33.5079905685093,3756
MS_batch_proxy,20250914,70,100,70,716,18.758187057898873,3756
MS_batch_proxy,20251001,118,1,2,3766,98.66387215090386,3789
MS_batch_proxy,20251001,118,10,12,3501,91.72124705265917,3789
MS_batch_proxy,20251001,118,20,24,3129,81.97537332984018,3789
MS_batch_proxy,20251001,118,30,36,2789,73.06785433586586,3789
MS_batch_proxy,20251001,118,40,48,2511,65.78464762902804,3789
MS_batch_proxy,20251001,118,50,59,2286,59.889965941839144,3789
MS_batch_proxy,20251001,118,60,71,2039,53.41891537856955,3789
MS_batch_proxy,20251001,118,70,83,1801,47.18365208278753,3789
MS_batch_proxy,20251001,118,80,95,1574,41.236573225045845,3789
MS_batch_proxy,20251001,118,90,107,1251,32.77443018077024,3789
MS_batch_proxy,20251001,118,100,118,717,18.78438564317527,3789
MS_batch_proxy,20251026,12,1,1,3251,85.1716007335604,3251
MS_batch_proxy,20251026,12,10,2,2904,76.0806916426513,3251
MS_batch_proxy,20251026,12,20,3,2617,68.5616976683259,3251
MS_batch_proxy,20251026,12,30,4,2404,62.98139900445376,3251
MS_batch_proxy,20251026,12,40,5,2239,58.65863243384857,3251
MS_batch_proxy,20251026,12,50,6,2069,54.20487293686141,3251
MS_batch_proxy,20251026,12,60,8,1796,47.052659156405554,3251
MS_batch_proxy,20251026,12,70,9,1664,43.5944458999214,3251
MS_batch_proxy,20251026,12,80,10,1529,40.05763688760807,3251
MS_batch_proxy,20251026,12,90,11,1358,35.57767880534451,3251
MS_batch_proxy,20251026,12,100,12,1157,30.311763164789102,3251
MS_batch_proxy,20251104,2,1,1,3068,80.3772596279801,3068
MS_batch_proxy,20251104,2,10,1,3068,80.3772596279801,3068
MS_batch_proxy,20251104,2,20,1,3068,80.3772596279801,3068
MS_batch_proxy,20251104,2,30,1,3068,80.3772596279801,3068
MS_batch_proxy,20251104,2,40,1,3068,80.3772596279801,3068
MS_batch_proxy,20251104,2,50,1,3068,80.3772596279801,3068
MS_batch_proxy,20251104,2,60,2,2447,64.10793817133876,3068
MS_batch_proxy,20251104,2,70,2,2447,64.10793817133876,3068
MS_batch_proxy,20251104,2,80,2,2447,64.10793817133876,3068
MS_batch_proxy,20251104,2,90,2,2447,64.10793817133876,3068
MS_batch_proxy,20251104,2,100,2,2447,64.10793817133876,3068
MS_batch_proxy,20251107,1,1,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,10,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,20,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,30,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,40,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,50,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,60,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,70,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,80,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,90,1,3463,90.72570081215613,3463
MS_batch_proxy,20251107,1,100,1,3463,90.72570081215613,3463
MS_batch_proxy,20260527,143,1,2,3762,98.55907780979827,3790
MS_batch_proxy,20260527,143,10,15,3258,85.35499083049515,3790
MS_batch_proxy,20260527,143,20,29,2736,71.67932931621692,3790
MS_batch_proxy,20260527,143,30,43,2355,61.697668325910406,3790
MS_batch_proxy,20260527,143,40,58,2067,54.15247576630862,3790
MS_batch_proxy,20260527,143,50,72,1837,48.126801152737755,3790
MS_batch_proxy,20260527,143,60,86,1625,42.572701074141996,3790
MS_batch_proxy,20260527,143,70,101,1407,36.86140948388787,3790
MS_batch_proxy,20260527,143,80,115,1226,32.11946554886036,3790
MS_batch_proxy,20260527,143,90,129,994,26.041393764736704,3790
MS_batch_proxy,20260527,143,100,143,600,15.719151165837046,3790
MS_batch_proxy,20260717,123,1,2,3734,97.8255174220592,3774
MS_batch_proxy,20260717,123,10,13,3166,82.94472098506681,3774
MS_batch_proxy,20260717,123,20,25,2614,68.48310191249672,3774
MS_batch_proxy,20260717,123,30,37,2257,59.130206968823686,3774
MS_batch_proxy,20260717,123,40,50,1961,51.375425727010736,3774
MS_batch_proxy,20260717,123,50,62,1741,45.61173696620383,3774
MS_batch_proxy,20260717,123,60,74,1525,39.95284254650249,3774
MS_batch_proxy,20260717,123,70,87,1346,35.26329578202777,3774
MS_batch_proxy,20260717,123,80,99,1177,30.835734870317005,3774
MS_batch_proxy,20260717,123,90,111,984,25.77940791197275,3774
MS_batch_proxy,20260717,123,100,123,570,14.933193607545192,3774
