level,category,samples,metric,median,q25,q75,min,max,mean
group,FJ_QZ,61,median_shift_applied,-0.0889723095089412,-0.36953909551394126,0.06000209857631056,-0.7201811293209683,0.5352558428143404,-0.12718852867412986
group,GZ_TH,123,observed_proteins,1324.0,1263.0,1359.5,866.0,1417.0,1303.7235772357724
group,GZ_TH,123,missing_pct,7.670850767085077,5.195258019525802,11.92468619246862,1.1854951185495117,39.609483960948396,9.084827249946139
group,GZ_TH,123,log2_median,8.395208987622862,8.301737303453613,8.55875874868291,7.919898677598301,9.980513981259426,8.462296104206041
group,GZ_TH,123,log2_iqr,3.3559972693043676,3.254721653417117,3.4834438531472376,2.8737191569560974,4.394289675661244,3.392696700832991
group,GZ_TH,123,median_shift_applied,0.8471515950984614,0.6836018340384129,0.9406232792677098,-0.7381533985381026,1.3224619051230224,0.7800644785152814
group,XZ_GG,142,observed_proteins,1331.0,1279.25,1370.5,1086.0,1421.0,1317.5211267605634
group,XZ_GG,142,missing_pct,7.182705718270572,4.428172942817294,10.791492329149232,0.906555090655509,24.267782426778243,8.122655037617617
group,XZ_GG,142,log2_median,9.224941425855345,9.09320193610014,9.368256220793809,8.60593249560609,10.227640912956158,9.269546824838548
group,XZ_GG,142,log2_iqr,3.198390810350811,3.0824120271675133,3.3021492170875346,2.8561705005588998,3.523058321644845,3.192800560686459
group,XZ_GG,142,median_shift_applied,0.01741915686597828,-0.12589563807248583,0.14915864662118317,-0.9852803302348345,0.6364280871152328,-0.027186242117224285
group,XZ_YA,22,observed_proteins,1403.0,1376.0,1424.0,1200.0,1431.0,1383.6818181818182
group,XZ_YA,22,missing_pct,2.1617852161785214,0.697350069735007,4.044630404463041,0.20920502092050208,16.317991631799163,3.508938759984785
group,XZ_YA,22,log2_median,9.66577491232269,9.322409137790522,10.114308283611209,8.703642550030018,10.51529860241775,9.693543467559211
group,XZ_YA,22,log2_iqr,3.563898128328972,3.286142498572999,3.748758969303938,3.087653530151682,3.978345278129469,3.53279886114895
group,XZ_YA,22,median_shift_applied,-0.42341432960136594,-0.8719477008898844,-0.08004855506919828,-1.2729380196964275,0.538718032691305,-0.45118288483788754
group,XZ_YB,10,observed_proteins,1417.0,1409.0,1423.25,1399.0,1429.0,1415.7
group,XZ_YB,10,missing_pct,1.1854951185495117,0.7496513249651324,1.7433751743375177,0.3486750348675035,2.4407252440725244,1.2761506276150627
group,XZ_YB,10,log2_median,9.793190228695739,9.654233422629066,9.865765970214218,9.139067592661046,10.409292129733025,9.742703681183986
