level,category,samples,metric,median,q25,q75,min,max,mean
group,GZ_TH,123,mean_observed_abundance,4393.085850170985,3808.4597197241137,4996.9253705924375,2597.7296866900138,9266.336561639537,4503.452064124259
group,XZ_GG,143,detected_protein_groups,1890.0,1711.5,2176.0,1258.0,3140.0,1973.4755244755245
group,XZ_GG,143,missing_protein_groups,1927.0,1641.0,2105.5,677.0,2559.0,1843.5244755244755
group,XZ_GG,143,missing_pct,50.484673827613314,42.99187843856432,55.16112129944983,17.736442232119465,67.04217972229499,48.297733181149475
group,XZ_GG,143,median_observed_abundance,327.3632507324219,295.50347900390625,361.64129638671875,218.88095092773438,503.54847717285156,332.11185732754797
group,XZ_GG,143,total_observed_abundance,14017700.122739196,12315362.814328194,15216774.729721665,6680568.7396149635,22253058.77964425,13942152.020302393
group,XZ_GG,143,mean_observed_abundance,7344.778739285506,6553.100755238653,7966.629603364275,3568.6798822729506,10718.908623436397,7213.382705163251
group,XZ_YA,22,detected_protein_groups,2345.5,2100.5,2659.75,1618.0,3051.0,2374.818181818182
group,XZ_YA,22,missing_protein_groups,1471.5,1157.25,1716.5,766.0,2199.0,1442.1818181818182
group,XZ_YA,22,missing_pct,38.551218234215355,30.3183128111082,44.96987162693215,20.068116321718627,57.61068902279277,37.783123347702855
group,XZ_YA,22,median_observed_abundance,363.2912902832031,319.5507507324219,387.31900787353516,240.41048431396484,486.8831787109375,352.35052143443716
group,XZ_YA,22,total_observed_abundance,24412622.542850792,20066430.442941576,26618724.331628084,15778356.541485071,35097063.04314661,24095482.455916036
group,XZ_YA,22,mean_observed_abundance,9617.514808711385,8480.29989557335,11706.478501781694,6985.476027683903,16540.052253710823,10360.044487704361
group,XZ_YB,12,detected_protein_groups,2530.5,2358.75,2638.5,2257.0,3224.0,2561.3333333333335
group,XZ_YB,12,missing_protein_groups,1286.5,1178.5,1458.25,593.0,1560.0,1255.6666666666667
group,XZ_YB,12,missing_pct,33.70447995808226,30.875032748231593,38.20408697930312,15.535761068902278,40.86979303117632,32.896690245393415
group,XZ_YB,12,median_observed_abundance,306.3457717895508,274.45190811157227,348.4482421875,247.4086074829101,467.16015625,318.3480536142985
group,XZ_YB,12,total_observed_abundance,21890468.324510723,20576887.180639476,24177102.11897573,15152892.158706665,30483712.34987688,22575011.179880824
group,XZ_YB,12,mean_observed_abundance,8794.24791616965,8194.365156498736,9594.224900981866,6713.731572311327,10249.093806024879,8779.74052249801
group,XZ_YC,34,detected_protein_groups,2298.0,2093.25,2480.0,1465.0,3071.0,2321.470588235294
group,XZ_YC,34,missing_protein_groups,1519.0,1337.0,1723.75,746.0,2352.0,1495.5294117647059
group,XZ_YC,34,missing_pct,39.79565103484411,35.027508514540216,45.159811370186006,19.544144616190724,61.619072570081215,39.180754827474615
group,XZ_YC,34,median_observed_abundance,303.16217041015625,271.0996208190918,326.77441406249994,212.5353622436523,519.960205078125,305.87995933083926
group,XZ_YC,34,total_observed_abundance,18821793.103989184,16281831.01057446,21964960.605927467,14271515.286763638,27481903.75535631,19230983.54401358
group,XZ_YC,34,mean_observed_abundance,8178.213724150324,7497.841904410914,9102.030840726695,5281.833932925107,12603.569828612712,8410.98109756272
group,XZ_YD,28,detected_protein_groups,2340.5,2091.0,2949.25,1703.0,3463.0,2492.5
group,XZ_YD,28,missing_protein_groups,1476.5,867.75,1726.0,354.0,2114.0,1324.5
group,XZ_YD,28,missing_pct,38.68221116059733,22.733822373591828,45.2187581870579,9.274299187843855,55.38380927429919,34.70002619858528
group,XZ_YD,28,median_observed_abundance,334.88824462890625,298.06341552734375,380.4751434326172,264.2135772705078,733.22900390625,371.1619851248605
group,XZ_YD,28,total_observed_abundance,20904263.243447304,18925935.19781732,23687310.61911583,14319270.36285162,30856144.34528184,21686424.61147115
group,XZ_YD,28,mean_observed_abundance,8779.304131606452,7899.9610341479465,9850.231844029226,5965.0347190849225,11451.681809823232,8875.00604304596
TREAT1_clean,control,153,detected_protein_groups,2067.0,1814.0,2302.0,1316.0,3451.0,2101.176470588235
TREAT1_clean,control,153,missing_protein_groups,1750.0,1515.0,2003.0,366.0,2501.0,1715.8235294117646
TREAT1_clean,control,153,missing_pct,45.84752423369138,39.69085669373854,52.475766308619335,9.588682211160595,65.52266177626407,44.95214905453929
TREAT1_clean,control,153,median_observed_abundance,295.2025451660156,219.9661712646484,335.6483917236328,120.5817985534668,733.22900390625,288.8798839843351
TREAT1_clean,control,153,total_observed_abundance,15667193.216822386,9192652.51113844,19889706.621750712,5252609.426487207,31080985.66989088,15373637.67369943
TREAT1_clean,control,153,mean_observed_abundance,7746.326149456614,5000.985699988637,8991.516009929677,2597.7296866900138,11739.386482424738,7212.480198016556
TREAT1_clean,high,176,detected_protein_groups,2044.5,1728.5,2283.0,1053.0,3440.0,2070.9829545454545
TREAT1_clean,high,176,missing_protein_groups,1772.5,1534.0,2088.5,377.0,2764.0,1746.0170454545455
TREAT1_clean,high,176,missing_pct,46.43699240241027,40.18862981399005,54.71574534975112,9.876866649200943,72.41288970395598,45.74317645938029
TREAT1_clean,high,176,median_observed_abundance,298.6958465576172,241.35737991333008,351.47850036621094,123.7469253540039,599.8335571289062,295.9802233956077
TREAT1_clean,high,176,total_observed_abundance,14384187.091164231,10114160.627699465,19498462.919124782,5744285.833562851,30010377.556882918,15016104.619655095
TREAT1_clean,high,176,mean_observed_abundance,7504.9028426972145,5602.435172373425,8774.099563738404,2827.3669291360047,13245.000463004852,7305.2031048933595
TREAT1_clean,low,186,detected_protein_groups,2060.5,1841.0,2305.25,1199.0,3463.0,2117.478494623656
TREAT1_clean,low,186,missing_protein_groups,1756.5,1511.75,1976.0,354.0,2618.0,1699.521505376344
TREAT1_clean,low,186,missing_pct,46.017815037987944,39.605711291590254,51.76840450615667,9.274299187843855,68.58789625360231,44.525059087669476
TREAT1_clean,low,186,median_observed_abundance,317.47698974609375,276.29420471191406,366.3053779602051,143.1009521484375,694.1107788085938,319.0705667311145
