UniqueSampleID,PC1,PC2,PC1_variance_pct,PC2_variance_pct,TREAT1_clean,condition,group,MS_batch_proxy
20251001_FJ_FQ_F83,-3.5752162446745723,11.247419194867017,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F95,4.488260720697189,24.36046389802323,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F97,-5.383684334349936,11.118293086526023,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F105,1.0806755785905202,23.487518276002795,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F120,4.685608887816914,-2.5613021303508776,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F136,9.568244255982497,-2.8988983938361415,36.52557777647658,17.885082631321747,control,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F141,-13.146131136964504,-3.8761968597226777,36.52557777647658,17.885082631321747,control,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F147,-7.001026849053722,15.413152493498146,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F150,-16.098069850463446,8.588682964683821,36.52557777647658,17.885082631321747,control,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F154,-11.043888152512519,-0.9447481965238259,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F158,1.4495594190622567,26.927814616756915,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F163,3.6825752578949165,26.12654873423747,36.52557777647658,17.885082631321747,control,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F165,-12.782202928206802,14.147653627263596,36.52557777647658,17.885082631321747,control,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F168,0.42498680546199535,3.727101185432559,36.52557777647658,17.885082631321747,high,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F170,-15.416664153189998,-0.943280116360659,36.52557777647658,17.885082631321747,control,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F173,-15.211191546580958,3.61314919284653,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F174,-17.22399702400641,2.0004343794184027,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F175,-5.789374135408051,12.213771211086023,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F176,-23.63947146330076,5.9294882501125805,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F177,-11.938218476753404,0.8143456131541735,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F180,-16.188186312570302,10.207735092009795,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F183,-26.386716715174874,1.5324750911912006,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_FJ_FQ_F185,-25.678809636141505,-3.901224237604031,36.52557777647658,17.885082631321747,low,high_temperature,FJ_FQ,20251001
20251001_XZ_YA_1,-28.562480765461768,6.098849281154246,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_2,-17.208568741784116,18.770306814684183,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_3,-6.225616098906437,4.754146419704941,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_4,-5.7984066114485575,27.8744983232378,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_5,-14.906411354349999,20.30469041294651,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_6,-12.852047853552541,-0.344671846210741,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_7,-12.166692216897767,26.549419765795694,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_8,-15.29930048364479,21.954586904545433,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_9,-16.08007463114788,13.85188306938447,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_10,-28.79621486173975,3.470082030798156,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_11,-4.47101531200101,17.215597875554234,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_12,-25.792144133221594,-7.813599379140819,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_13,-19.508103047215943,-4.643023240131742,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_14,-19.588103242249773,9.200461658419885,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_15,-25.506290870149186,-1.9433681320096456,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_16,-17.032726098199138,-6.531897850160059,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_17,-8.136696272268306,15.597157168215164,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_18,-16.298886493256926,-2.4211627112853753,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_19,-21.36008122111406,4.402562629501473,36.52557777647658,17.885082631321747,low,high_stress,XZ_YA,20251001
20251001_XZ_YA_20,-7.680183589788594,17.026828296405895,36.52557777647658,17.885082631321747,control,high_stress,XZ_YA,20251001
20251001_XZ_YA_21,-20.34138187799483,13.775481925989997,36.52557777647658,17.885082631321747,control,high_stress,XZ_YA,20251001
20251001_XZ_YA_22,8.250065088071624,31.34010753340398,36.52557777647658,17.885082631321747,high,high_stress,XZ_YA,20251001
