PG.ProteinGroups,control,high,low,unknown
A0A0C4DH36,0.6862745098039216,0.7840909090909091,0.8118279569892473,1.0
A0A0C4DH38,0.9150326797385621,0.9318181818181818,0.956989247311828,1.0
A0A0C4DH39,0.013071895424836602,0.005681818181818182,0.026881720430107527,0.0
A0A0C4DH43,0.9215686274509803,0.9034090909090909,0.8924731182795699,1.0
A0A0C4DH67,0.869281045751634,0.9488636363636364,0.8655913978494624,1.0
A0A0G2JS06,0.9084967320261438,0.8863636363636364,0.8763440860215054,0.75
A0A0J9YVY3,0.17647058823529413,0.26136363636363635,0.25268817204301075,0.0
A0A0J9YWL9,0.11764705882352941,0.07954545454545454,0.08602150537634409,0.0
A0A0J9YX35,0.8954248366013072,0.9318181818181818,0.9354838709677419,0.75
A0A0J9YXX1,0.7320261437908496,0.7613636363636364,0.7956989247311828,1.0
A0A1B0GTC6,1.0,1.0,1.0,1.0
A0A494C071,0.0718954248366013,0.1534090909090909,0.13978494623655913,0.5
A0AV96,0.05228758169934641,0.14204545454545456,0.16129032258064516,0.0
A0AVT1,0.2222222222222222,0.29545454545454547,0.26344086021505375,0.5
A0FGR8,0.45098039215686275,0.4431818181818182,0.43010752688172044,0.75
A0M8Q6,0.9869281045751634,0.9772727272727273,0.9838709677419355,1.0
A0PJW8,0.7058823529411765,0.6079545454545454,0.5,0.75
A1A4S6,0.19607843137254902,0.1534090909090909,0.12903225806451613,0.5
A1L4H1,1.0,1.0,1.0,1.0
A1X283;Q5TCZ1,0.0457516339869281,0.045454545454545456,0.03225806451612903,0.0
A2A2Y4,0.026143790849673203,0.011363636363636364,0.03225806451612903,0.0
A2A3L6,0.8300653594771242,0.8068181818181818,0.9247311827956989,1.0
A2CJ06,0.8627450980392157,0.8693181818181818,0.8978494623655914,1.0
A2NJV5,1.0,1.0,1.0,1.0
A2PYH4,0.0718954248366013,0.09659090909090909,0.06989247311827956,0.0
A2RRP1,0.09803921568627451,0.13068181818181818,0.0913978494623656,0.0
A2RUS2,0.24183006535947713,0.2784090909090909,0.3279569892473118,0.5
A4D1P6,0.43790849673202614,0.4090909090909091,0.43548387096774194,0.5
A6NDG6,0.9150326797385621,0.8693181818181818,0.9247311827956989,1.0
A6NDU8,0.26143790849673204,0.23295454545454544,0.23655913978494625,0.5
A6NH11,0.5490196078431373,0.5340909090909091,0.6505376344086021,0.75
A6NHL2,0.026143790849673203,0.03409090909090909,0.005376344086021506,0.0
A6NL88,0.934640522875817,0.9375,0.9946236559139785,1.0
A6NM11;A6NMS7,0.9281045751633987,0.8579545454545454,0.9139784946236559,1.0
A6NML5,0.7124183006535948,0.6988636363636364,0.7634408602150538,1.0
A6QL63,0.0392156862745098,0.0625,0.04838709677419355,0.0
A8CG34;Q96HA1,0.2875816993464052,0.24431818181818182,0.2956989247311828,0.75
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,0.06535947712418301,0.07954545454545454,0.06989247311827956,0.0
A8K2U0,0.6797385620915033,0.625,0.5645161290322581,1.0
A8MYB1,0.9215686274509803,0.875,0.9408602150537635,1.0
B0I1T2,1.0,0.9602272727272727,0.978494623655914,1.0
B2RUZ4,0.8627450980392157,0.8238636363636364,0.9086021505376344,1.0
B5ME19;Q99613,0.11764705882352941,0.11363636363636363,0.10752688172043011,0.0
E9PAV3,0.7908496732026143,0.8181818181818182,0.8064516129032258,0.75
L0R6Q1,0.0196078431372549,0.045454545454545456,0.03763440860215054,0.0
O00116,0.1437908496732026,0.11363636363636363,0.12365591397849462,0.5
O00139,0.5032679738562091,0.5795454545454546,0.553763440860215,0.75
O00148,0.3464052287581699,0.3352272727272727,0.3548387096774194,0.25
