UniqueSampleID,group,condition,detected_protein_groups
20260717_GZ_TH_104,GZ_TH,湿热,1613
20260717_GZ_TH_106,GZ_TH,湿热,1669
20260717_GZ_TH_107,GZ_TH,湿热,1773
20260717_GZ_TH_108,GZ_TH,湿热,1615
20260717_GZ_TH_109,GZ_TH,湿热,1577
20260717_GZ_TH_110,GZ_TH,湿热,1577
20260717_GZ_TH_111,GZ_TH,湿热,1691
20260717_GZ_TH_112,GZ_TH,湿热,2075
20260717_GZ_TH_114,GZ_TH,湿热,1615
20260717_GZ_TH_115,GZ_TH,湿热,2313
20260717_GZ_TH_117,GZ_TH,湿热,1767
20260717_GZ_TH_118,GZ_TH,湿热,1525
20260717_GZ_TH_119,GZ_TH,湿热,2731
20260717_GZ_TH_120,GZ_TH,湿热,1572
20260717_GZ_TH_121,GZ_TH,湿热,2014
20260717_GZ_TH_122,GZ_TH,湿热,1595
20260717_GZ_TH_123,GZ_TH,湿热,1671
20260717_GZ_TH_124,GZ_TH,湿热,1759
20260717_GZ_TH_125,GZ_TH,湿热,1634
20260717_GZ_TH_126,GZ_TH,湿热,1716
20260717_GZ_TH_128,GZ_TH,湿热,1993
20260717_GZ_TH_129,GZ_TH,湿热,1867
20260717_GZ_TH_131,GZ_TH,湿热,1679
20260717_GZ_TH_132,GZ_TH,湿热,1406
20260717_GZ_TH_133,GZ_TH,湿热,1568
20260717_GZ_TH_134,GZ_TH,湿热,1053
20260717_GZ_TH_137,GZ_TH,湿热,1226
20260717_GZ_TH_138,GZ_TH,湿热,1587
20260717_GZ_TH_143,GZ_TH,湿热,1847
20260717_GZ_TH_144,GZ_TH,湿热,1957
20260717_GZ_TH_147,GZ_TH,湿热,1615
20260717_GZ_TH_148,GZ_TH,湿热,2028
20260717_GZ_TH_149,GZ_TH,湿热,2048
20260717_GZ_TH_150,GZ_TH,湿热,1696
