UniqueSampleID,group,condition,detected_protein_groups
20260717_GZ_TH_18,GZ_TH,湿热,1991
20260717_GZ_TH_19,GZ_TH,湿热,1723
20260717_GZ_TH_20,GZ_TH,湿热,2450
20260717_GZ_TH_21,GZ_TH,湿热,1616
20260717_GZ_TH_22,GZ_TH,湿热,2032
20260717_GZ_TH_23,GZ_TH,湿热,1590
20260717_GZ_TH_24,GZ_TH,湿热,3241
20260717_GZ_TH_25,GZ_TH,湿热,1977
20260717_GZ_TH_26,GZ_TH,湿热,3292
20260717_GZ_TH_27,GZ_TH,湿热,1893
20260717_GZ_TH_28,GZ_TH,湿热,2985
20260717_GZ_TH_29,GZ_TH,湿热,3243
20260717_GZ_TH_30,GZ_TH,湿热,1932
20260717_GZ_TH_31,GZ_TH,湿热,2119
20260717_GZ_TH_32,GZ_TH,湿热,1978
20260717_GZ_TH_33,GZ_TH,湿热,2276
20260717_GZ_TH_35,GZ_TH,湿热,2173
20260717_GZ_TH_36,GZ_TH,湿热,1325
20260717_GZ_TH_37,GZ_TH,湿热,1934
20260717_GZ_TH_38,GZ_TH,湿热,1484
20260717_GZ_TH_39,GZ_TH,湿热,2563
20260717_GZ_TH_40,GZ_TH,湿热,1999
20260717_GZ_TH_41,GZ_TH,湿热,1920
20260717_GZ_TH_42,GZ_TH,湿热,2164
20260717_GZ_TH_43,GZ_TH,湿热,1681
20260717_GZ_TH_44,GZ_TH,湿热,1782
20260717_GZ_TH_45,GZ_TH,湿热,1316
20260717_GZ_TH_46,GZ_TH,湿热,2084
20260717_GZ_TH_47,GZ_TH,湿热,2244
20260717_GZ_TH_48,GZ_TH,湿热,2072
20260717_GZ_TH_49,GZ_TH,湿热,2174
20260717_GZ_TH_50,GZ_TH,湿热,1472
20260717_GZ_TH_51,GZ_TH,湿热,2495
20260717_GZ_TH_53,GZ_TH,湿热,1974
20260717_GZ_TH_54,GZ_TH,湿热,3087
20260717_GZ_TH_55,GZ_TH,湿热,1928
20260717_GZ_TH_57,GZ_TH,湿热,1885
20260717_GZ_TH_58,GZ_TH,湿热,1829
20260717_GZ_TH_59,GZ_TH,湿热,1546
20260717_GZ_TH_61,GZ_TH,湿热,1711
20260717_GZ_TH_62,GZ_TH,湿热,1720
20260717_GZ_TH_63,GZ_TH,湿热,1914
20260717_GZ_TH_64,GZ_TH,湿热,1721
20260717_GZ_TH_65,GZ_TH,湿热,1702
20260717_GZ_TH_66,GZ_TH,湿热,1814
20260717_GZ_TH_67,GZ_TH,湿热,1787
20260717_GZ_TH_68,GZ_TH,湿热,1836
20260717_GZ_TH_69,GZ_TH,湿热,1588
20260717_GZ_TH_70,GZ_TH,湿热,1620
20260717_GZ_TH_71,GZ_TH,湿热,1758
20260717_GZ_TH_72,GZ_TH,湿热,1844
20260717_GZ_TH_73,GZ_TH,湿热,1817
20260717_GZ_TH_74,GZ_TH,湿热,1555
20260717_GZ_TH_75,GZ_TH,湿热,1988
20260717_GZ_TH_76,GZ_TH,湿热,1977
20260717_GZ_TH_77,GZ_TH,湿热,1711
20260717_GZ_TH_78,GZ_TH,湿热,1904
20260717_GZ_TH_79,GZ_TH,湿热,1784
20260717_GZ_TH_80,GZ_TH,湿热,2365
20260717_GZ_TH_87,GZ_TH,湿热,1734
20260717_GZ_TH_88,GZ_TH,湿热,1623
20260717_GZ_TH_89,GZ_TH,湿热,1908
20260717_GZ_TH_90,GZ_TH,湿热,1625
20260717_GZ_TH_93,GZ_TH,湿热,1706
20260717_GZ_TH_94,GZ_TH,湿热,1880
20260717_GZ_TH_95,GZ_TH,湿热,1758
20260717_GZ_TH_96,GZ_TH,湿热,2083
20260717_GZ_TH_98,GZ_TH,湿热,1416
20260717_GZ_TH_99,GZ_TH,湿热,1861
20260717_GZ_TH_100,GZ_TH,湿热,1778
20260717_GZ_TH_101,GZ_TH,湿热,1932
20260717_GZ_TH_102,GZ_TH,湿热,1811
20260717_GZ_TH_103,GZ_TH,湿热,1951
