"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"Q9H1Z8","High_vs_Control",-0.13371497872395,7.34562600262294,-1.38706430307714,0.166088664838617,0.56085645246921,-4.72016483864433,FALSE,0.0964014274084554,463.586669375703,0.0557229221276277,-0.323152879575528,"moderated_fit_95pct_CI","Not significant",381
"Q9BY76","High_vs_Control",-0.133687696725881,8.04806467104058,-1.11895289779831,0.263703378102698,0.642021467231357,-5.03666088655394,FALSE,0.119475714294077,494.586669375703,0.101054843361093,-0.368430236812855,"moderated_fit_95pct_CI","Not significant",382
"Q99497","High_vs_Control",-0.133544462129819,8.74573045486422,-0.929445983865657,0.353118857683774,0.721328264841213,-5.19486302994675,FALSE,0.143681789418676,486.586669375703,0.148768882718218,-0.415857806977856,"moderated_fit_95pct_CI","Not significant",383
"P49908","High_vs_Control",-0.133353262673287,14.5925479974934,-1.358821400002,0.174793888335474,0.56085645246921,-4.79686475862174,FALSE,0.0981389185312292,518.586669375703,0.0594454507412368,-0.326151976087811,"moderated_fit_95pct_CI","Not significant",384
"Q9NTK5","High_vs_Control",-0.133265243982442,7.6016897265331,-1.03391523451975,0.301669105179555,0.678355460501279,-5.12727851462803,FALSE,0.128893781166058,506.586669375703,0.119966935798684,-0.386497423763568,"moderated_fit_95pct_CI","Not significant",385
"Q9UQ53","High_vs_Control",-0.133047324073409,7.21874821200604,-1.47562963463549,0.140688800190472,0.556667979212178,-4.64123933899632,FALSE,0.0901630876410763,487.586669375703,0.0441088262534251,-0.310203474400243,"moderated_fit_95pct_CI","Not significant",386
"Q86Y38","High_vs_Control",-0.132346841230999,7.89978191803031,-1.41562766951331,0.157519059801178,0.56085645246921,-4.70957563300197,FALSE,0.0934898660722695,490.586669375703,0.0513431053647184,-0.316036787826716,"moderated_fit_95pct_CI","Not significant",387
"P19823","High_vs_Control",-0.13230300796538,20.3494201718466,-1.34084817963935,0.180556764128736,0.565301592446431,-4.81779855917606,FALSE,0.0986711321791595,518.586669375703,0.0615412652343778,-0.326147281165138,"moderated_fit_95pct_CI","Not significant",388
"P50238","High_vs_Control",-0.13208136699234,11.6856486064895,-1.26985170731392,0.204723912744588,0.601385677833053,-4.88977317690734,FALSE,0.104013221568783,503.586669375703,0.0722719412746343,-0.336434675259314,"moderated_fit_95pct_CI","Not significant",389
"Q08188","High_vs_Control",-0.131969468510748,8.36275662906343,-0.966629179859442,0.334199958564094,0.708271190816561,-5.16740279848505,FALSE,0.13652543422074,496.586669375703,0.136269234111516,-0.400208171133012,"moderated_fit_95pct_CI","Not significant",390
"Q92752","High_vs_Control",-0.131648433472557,7.13519394326189,-1.32417225755135,0.186058692678174,0.57255896532088,-4.81760937620227,FALSE,0.0994194167124447,493.586669375703,0.0636890251557453,-0.326985892100859,"moderated_fit_95pct_CI","Not significant",391
"Q13867","High_vs_Control",-0.13158042012234,9.44588096780553,-1.18545773095336,0.236397822779481,0.625072929319556,-4.96524378994295,FALSE,0.110995454908815,501.586669375703,0.0864928782029516,-0.349653718447632,"moderated_fit_95pct_CI","Not significant",392
"P15311","High_vs_Control",-0.131133923190569,8.1655479546288,-1.49167456240957,0.136396056729081,0.550963226336625,-4.63183062699371,FALSE,0.0879105446289455,515.586669375703,0.0415729993210446,-0.303840845702183,"moderated_fit_95pct_CI","Not significant",393
"O00299","High_vs_Control",-0.130946562067979,10.2654260656412,-1.1292253447387,0.259324857427573,0.640544673104692,-5.04345867644419,FALSE,0.115961409012016,518.586669375703,0.0968653070442496,-0.358758431180208,"moderated_fit_95pct_CI","Not significant",394
"O14818","High_vs_Control",-0.130828301911366,8.47861810806225,-1.02016677937,0.308132495693739,0.686773314108549,-5.13801109874868,FALSE,0.128242072332682,510.586669375703,0.121118766222057,-0.382775370044789,"moderated_fit_95pct_CI","Not significant",395
"Q7LFX5","High_vs_Control",-0.130316620264528,8.52295385874585,-1.39115004405505,0.164776467557814,0.56085645246921,-4.75851504537479,FALSE,0.0936754599702775,518.586669375703,0.053713410136063,-0.314346650665119,"moderated_fit_95pct_CI","Not significant",396
"P04275","High_vs_Control",-0.130061226840592,16.8930241035935,-1.15188396993029,0.24989950639532,0.631183473101203,-5.02113398836061,FALSE,0.112911743053828,518.586669375703,0.0917594240894672,-0.351881877770651,"moderated_fit_95pct_CI","Not significant",397
"Q14C86","High_vs_Control",-0.129617283476725,7.71369536851275,-0.886010878918547,0.376056633260531,0.740811222486149,-5.22350122828308,FALSE,0.146293106056366,478.586669375703,0.157838891338574,-0.417073458292024,"moderated_fit_95pct_CI","Not significant",398
"P62136","High_vs_Control",-0.128615596725024,6.65518436711675,-0.839313498377961,0.401756991983189,0.75928813787041,-5.22811694472056,FALSE,0.15323904235257,432.586669375703,0.172570074300975,-0.429801267751023,"moderated_fit_95pct_CI","Not significant",399
"Q6PCB0","High_vs_Control",-0.128556536345765,6.80868966858959,-1.17950024181933,0.23882840708826,0.625072929319556,-4.93820847007139,FALSE,0.108992378117254,445.586669375703,0.085646419458916,-0.342759492150446,"moderated_fit_95pct_CI","Not significant",400
"P14625","High_vs_Control",-0.128159314889242,14.0300943662412,-1.40197129256234,0.161522079326627,0.56085645246921,-4.74547866054459,FALSE,0.0914136513130802,518.586669375703,0.0514272815951834,-0.307745911373667,"moderated_fit_95pct_CI","Not significant",401
"P04259","High_vs_Control",-0.127660443685702,14.4216868862115,-1.41281422259643,0.158310226704457,0.56085645246921,-4.73231571207971,FALSE,0.0903589740561159,518.586669375703,0.0498541876573349,-0.305175075028739,"moderated_fit_95pct_CI","Not significant",402
"P60033","High_vs_Control",-0.127372793356463,10.7007451178476,-1.35750641416078,0.175222399446153,0.56085645246921,-4.79421405661611,FALSE,0.0938285020444673,508.586669375703,0.0569663743298192,-0.311711961042745,"moderated_fit_95pct_CI","Not significant",403
"P61020","High_vs_Control",-0.12702750955808,7.14228459781321,-1.12667480312591,0.260454192356035,0.640544673104692,-5.01434633870444,FALSE,0.112745496043444,470.586669375703,0.0945194024113637,-0.348574421527524,"moderated_fit_95pct_CI","Not significant",404
"Q13103","High_vs_Control",-0.126750661406408,16.3182058800291,-1.55175395986959,0.121331141129467,0.525646091781439,-4.55475797985826,FALSE,0.0816821897571059,518.586669375703,0.0337180020936864,-0.287219324906502,"moderated_fit_95pct_CI","Not significant",405
