"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"Q92563","Low_vs_Control",0.137584820202852,8.24064865592277,1.42672263709521,0.154302500815079,0.460691075285178,-4.98956662635693,FALSE,0.0964341748182905,485.586669375703,0.327064602974472,-0.0518949625687679,"moderated_fit_95pct_CI","Not significant",860
"P61106","Low_vs_Control",0.137624912756394,8.12271017991692,1.11721464019688,0.264429021848899,0.583371103586649,-5.38524280566142,FALSE,0.123185740505639,509.586669375703,0.379639333611682,-0.104389508098894,"moderated_fit_95pct_CI","Not significant",861
"Q9BQS7","Low_vs_Control",0.138528324013997,8.93206688170446,1.15990638208888,0.246777773217701,0.565302438968345,-5.25178541286484,FALSE,0.119430607636213,400.586669375703,0.373317386208011,-0.0962607381800166,"moderated_fit_95pct_CI","Not significant",862
"P04275","Low_vs_Control",0.1386194174667,16.8930241035935,1.23166766598214,0.218631463283173,0.535927381791574,-5.26358227790019,FALSE,0.112546120431085,518.586669375703,0.359721784842029,-0.0824829499086285,"moderated_fit_95pct_CI","Not significant",863
"Q02413","Low_vs_Control",0.138955812162273,10.0690036841247,1.12499057316034,0.261116466384243,0.580392260757106,-5.37922965451566,FALSE,0.123517312480154,515.586669375703,0.381614926667734,-0.103703302343188,"moderated_fit_95pct_CI","Not significant",864
"Q9NR99","Low_vs_Control",0.139294052904992,10.2462125740413,1.83897527683581,0.066490381989457,0.315719231036031,-4.39297448488828,FALSE,0.0757454733946531,518.586669375703,0.288099746263189,-0.00951164045320488,"moderated_fit_95pct_CI","Not significant",865
"O15335","Low_vs_Control",0.139638365985872,11.1646172019808,1.48422589482139,0.138356539106863,0.434719473703147,-4.94296919842237,FALSE,0.0940816128279966,518.586669375703,0.324466303573436,-0.0451895716016923,"moderated_fit_95pct_CI","Not significant",866
"P01624","Low_vs_Control",0.140019875837297,12.7404701048851,1.06067020982345,0.289333533456077,0.603089865400695,-5.44700527354445,FALSE,0.132010755596316,518.586669375703,0.399361472593836,-0.119321720919242,"moderated_fit_95pct_CI","Not significant",867
"P41222","Low_vs_Control",0.14010593029799,9.7018591666354,1.91283430780674,0.0563197357401112,0.3036308237416,-4.26388828407859,FALSE,0.0732451994018425,518.586669375703,0.283999712905466,-0.00378785230948595,"moderated_fit_95pct_CI","Not significant",868
"Q9BTT0","Low_vs_Control",0.140204340246677,7.30336633838726,1.15519619852005,0.248627795922246,0.566282153672096,-5.30139595921419,FALSE,0.121368422460441,446.586669375703,0.378728508073178,-0.0983198275798244,"moderated_fit_95pct_CI","Not significant",869
"P48507","Low_vs_Control",0.140621847115411,7.71264370863107,1.01688166349949,0.309788817145834,0.623053525648144,-5.41546094882694,FALSE,0.13828732699484,424.586669375703,0.41243484295508,-0.131191148724258,"moderated_fit_95pct_CI","Not significant",870
"P02654","Low_vs_Control",0.140989092974763,17.1817592442441,1.76065513453948,0.0788861774375585,0.337242408502632,-4.52438018541299,FALSE,0.0800776314503185,518.586669375703,0.298305523071666,-0.0163273371221404,"moderated_fit_95pct_CI","Not significant",871
"P26022","Low_vs_Control",0.141216218110134,10.4315416554361,1.48353313660283,0.138540306473039,0.434719473703147,-4.94392951369121,FALSE,0.0951891229295413,518.586669375703,0.328219913550619,-0.0457874773303506,"moderated_fit_95pct_CI","Not significant",872
"P25705","Low_vs_Control",0.141241375642105,7.65840412746712,0.655538754625149,0.512448947261869,0.804207723909979,-5.7229916177274,FALSE,0.215458467780246,459.586669375703,0.564647240097898,-0.282164488813688,"moderated_fit_95pct_CI","Not significant",873
"Q6UXB8","Low_vs_Control",0.141686976614304,9.73609478217592,1.05694057760886,0.291030813708006,0.603089865400695,-5.45070249352486,FALSE,0.134053871727439,518.586669375703,0.40504237510549,-0.121668421876882,"moderated_fit_95pct_CI","Not significant",874
"P30040","Low_vs_Control",0.142029789728989,7.2167481010568,0.832854278992088,0.405423185771743,0.720945105832373,-5.52165674193117,FALSE,0.170533781612879,400.586669375703,0.477282765911169,-0.193223186453191,"moderated_fit_95pct_CI","Not significant",875
"P52943","Low_vs_Control",0.142297101478972,7.95101101224923,1.63461408667041,0.102745116466807,0.373691777341216,-4.72018640699535,FALSE,0.0870524135570253,511.586669375703,0.31332130679063,-0.0287271038326863,"moderated_fit_95pct_CI","Not significant",876
"O15466","Low_vs_Control",0.142980696794339,9.26655341569532,1.61584705708797,0.106736719336354,0.379449663826495,-4.75229765445781,FALSE,0.0884865285777817,517.586669375703,0.316817602917527,-0.0308562093288491,"moderated_fit_95pct_CI","Not significant",877
"Q06828","Low_vs_Control",0.143077363794983,11.3865768349313,1.94473975153603,0.052346526104572,0.291263927850998,-4.20657735453847,FALSE,0.0735714707749331,518.586669375703,0.287612122499376,-0.00145739490941038,"moderated_fit_95pct_CI","Not significant",878
"O15400","Low_vs_Control",0.143377643592085,8.60855116887885,1.42317425210125,0.15529636639497,0.460691075285178,-5.02349371112768,FALSE,0.100744967371631,510.586669375703,0.341303321934473,-0.054548034750303,"moderated_fit_95pct_CI","Not significant",879
"Q9UBQ7","Low_vs_Control",0.143436005177769,6.72071701229526,1.11237316987122,0.266620775992192,0.585099344441866,-5.32484470381258,FALSE,0.128945941040968,415.586669375703,0.396903572670733,-0.110031562315195,"moderated_fit_95pct_CI","Not significant",880
"Q7LGC8","Low_vs_Control",0.143748085773474,11.0081953095231,1.97914956585737,0.0483276411392748,0.278320632103293,-4.14372184805119,FALSE,0.0726312393228364,518.586669375703,0.286435713726998,0.00106045781995007,"moderated_fit_95pct_CI","Not significant",881
"Q5D862","Low_vs_Control",0.143892815300527,9.72044929392317,1.24137706363598,0.215035363114403,0.532941282106475,-5.24385939324469,FALSE,0.11591386655644,511.586669375703,0.371618573868159,-0.0838329432671049,"moderated_fit_95pct_CI","Not significant",882
"P20908","Low_vs_Control",0.144019043205629,7.7270153505008,1.4848615254299,0.138217562458407,0.434719473703147,-4.92716063630084,FALSE,0.0969915650309092,494.586669375703,0.334585356007286,-0.0465472695960283,"moderated_fit_95pct_CI","Not significant",883
"P60985","Low_vs_Control",0.144151760284936,10.9812272597266,1.23834571604371,0.216148174743318,0.534407728589513,-5.2558669739392,FALSE,0.116406717782717,518.586669375703,0.372838460293492,-0.0845349397236203,"moderated_fit_95pct_CI","Not significant",884
"P24844","Low_vs_Control",0.14453711694954,8.21613779895918,0.859002723475936,0.390771758987464,0.710424918578528,-5.58651032796487,FALSE,0.168261535149357,475.586669375703,0.475165073969595,-0.186090840070515,"moderated_fit_95pct_CI","Not significant",885
"P98160","Low_vs_Control",0.145200815218711,12.0119256250694,1.82621426016676,0.0683927929301002,0.317244110445681,-4.41476966418975,FALSE,0.0795091892478447,518.586669375703,0.301400512760093,-0.0109988823226711,"moderated_fit_95pct_CI","Not significant",886
"P18564","Low_vs_Control",0.145325740164472,11.1390630510622,1.79288909769814,0.0735906709670341,0.327729882505363,-4.4656810267211,FALSE,0.0810567370569951,503.586669375703,0.304576767342488,-0.0139252870135439,"moderated_fit_95pct_CI","Not significant",887
"P08133","Low_vs_Control",0.145634841364366,9.34076333893893,1.40543820686976,0.160489800061234,0.464934087450121,-5.04933678567371,FALSE,0.103622372476076,518.586669375703,0.349206068695454,-0.057936385966722,"moderated_fit_95pct_CI","Not significant",888
"Q08629","Low_vs_Control",0.145872652765721,7.25794963168698,1.45086023051894,0.147541843038259,0.450159580674178,-4.92355991867602,FALSE,0.100542181594946,433.586669375703,0.343483314034063,-0.0517380085026207,"moderated_fit_95pct_CI","Not significant",889
"Q15113","Low_vs_Control",0.145908713374478,11.7487329708412,1.62736374413414,0.104267258909554,0.375676505719349,-4.73502732874135,FALSE,0.0896595576129851,518.586669375703,0.322049306849616,-0.0302318801006597,"moderated_fit_95pct_CI","Not significant",890
"P46459","Low_vs_Control",0.146013547071987,7.17099264976762,0.907076308912076,0.36482292548899,0.681192806186473,-5.56080569888478,FALSE,0.160971624589238,478.586669375703,0.462312029656657,-0.170284935512683,"moderated_fit_95pct_CI","Not significant",891
"P01860","Low_vs_Control",0.146143662387027,13.5268326662248,0.847102475522159,0.39732876220543,0.718088512765647,-5.63781609882445,FALSE,0.172521821869241,518.586669375703,0.485071233529305,-0.192783908755251,"moderated_fit_95pct_CI","Not significant",892
"P06733","Low_vs_Control",0.146548691198962,12.3827193222578,1.44044999629026,0.15034357489666,0.45483689114306,-5.00277897791905,FALSE,0.101738131539717,518.586669375703,0.34641823489903,-0.053320852501106,"moderated_fit_95pct_CI","Not significant",893
"P11597","Low_vs_Control",0.14660926009201,14.3690496337631,1.34748851550101,0.178411361119507,0.487362374778838,-5.12389940447416,FALSE,0.108801862431829,518.586669375703,0.360355849191475,-0.0671373290074555,"moderated_fit_95pct_CI","Not significant",894
"O94769","Low_vs_Control",0.146732515672161,9.26428866579649,1.53203639892827,0.126123236115408,0.412924019610719,-4.87562020971967,FALSE,0.0957761289319282,518.586669375703,0.334889413162562,-0.0414243818182401,"moderated_fit_95pct_CI","Not significant",895
"Q13822","Low_vs_Control",0.146736231715836,7.4267153431575,1.02779610779169,0.30463090632187,0.617006666194296,-5.38081282425019,FALSE,0.142767841406904,424.586669375703,0.427355978482806,-0.133883515051134,"moderated_fit_95pct_CI","Not significant",896
"Q9NP72","Low_vs_Control",0.147192226157977,6.85917119828735,1.05813258024204,0.290660887168948,0.603089865400695,-5.32665943533541,FALSE,0.139105655478738,383.586669375703,0.420697267137694,-0.12631281482174,"moderated_fit_95pct_CI","Not significant",897
"P12110","Low_vs_Control",0.147222739562752,8.96326542801048,1.65769153036625,0.0979856657303338,0.370128456815774,-4.68615432544827,FALSE,0.088811903098898,517.586669375703,0.321698862762158,-0.027253383636654,"moderated_fit_95pct_CI","Not significant",898
"P08254","Low_vs_Control",0.14751294981191,9.21836908683984,1.34004791632681,0.180816610432379,0.492013319468751,-5.1332473745135,FALSE,0.110080354601241,518.586669375703,0.363771199413268,-0.0687452997894478,"moderated_fit_95pct_CI","Not significant",899
"Q9BYH1","Low_vs_Control",0.148091260845334,11.0767575573965,1.77266828949601,0.0768706683021362,0.334037994985647,-4.50459093673452,FALSE,0.083541439604269,518.586669375703,0.312212511757375,-0.0160299900667069,"moderated_fit_95pct_CI","Not significant",900
"Q9Y6W5","Low_vs_Control",0.148106862937116,7.00052953994066,0.955719162930371,0.339803764997826,0.657519517881782,-5.44676934101312,FALSE,0.154969020902541,391.586669375703,0.452782239550542,-0.15656851367631,"moderated_fit_95pct_CI","Not significant",901
"Q8WUA8","Low_vs_Control",0.148180703314049,9.59878099396833,1.45366180517967,0.146647319191105,0.449342426752233,-4.98444265369772,FALSE,0.101936160657213,516.586669375703,0.34844109857503,-0.0520796919469325,"moderated_fit_95pct_CI","Not significant",902
"Q9NRA1","Low_vs_Control",0.148264280310137,9.46322529784544,1.58982714469944,0.112483188080715,0.390741559469681,-4.79139018316649,FALSE,0.0932581135027524,518.586669375703,0.3314744131289,-0.0349458525086263,"moderated_fit_95pct_CI","Not significant",903
"P04004","Low_vs_Control",0.148561329289919,18.311104894547,2.01933974072313,0.0439658495969266,0.266905612791851,-4.06893429144771,FALSE,0.073569259443544,518.586669375703,0.293091743725462,0.00403091485437554,"moderated_fit_95pct_CI","Not significant",904
"P19320","Low_vs_Control",0.14856410638949,10.0822398176976,2.5281287772582,0.0117629429075855,0.156172016176314,-2.99487293793753,FALSE,0.0587644536646626,518.586669375703,0.264009754564725,0.0331184582142549,"moderated_fit_95pct_CI","Not significant",905
"O43491","Low_vs_Control",0.149016764607866,7.3273107517035,1.16944094391754,0.242832164776728,0.562554643440755,-5.29011791733192,FALSE,0.127425643323784,459.586669375703,0.399425881600059,-0.101392352384327,"moderated_fit_95pct_CI","Not significant",906
