"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"Q99715",10.7350295191953,10.8962774204148,10.5730922592009,"Low_peak",-0.320290009890424,0.00333617930149253
"O00468",10.1920045005639,10.3208287216062,10.0214531933212,"Low_peak",-0.276281453354587,0.00336698512263927
"Q7LGC8",10.9939098532793,11.1565894528353,10.8637882876437,"Low_peak",-0.278969044252412,0.00354711847400752
"Q9NR99",10.2518076682657,10.3820511385243,10.0977919921653,"Low_peak",-0.290871863924691,0.00354711847400752
"P09603",11.5767305148099,11.7470846558751,11.3967065389225,"Low_peak",-0.299395117325982,0.00377185485648467
"Q0VD83",10.4366109357262,10.579814819704,10.2262476507052,"Low_peak",-0.342918078277039,0.00377185485648467
"Q8NG11",7.18518399522115,7.47486549960502,7.02427520608586,"Low_peak",-0.346357582439577,0.00377185485648467
"Q9UKM7",9.65623715587969,9.73306060286556,9.38439968424938,"Low_peak",-0.326302054051277,0.0038308820800138
"Q6ZRP7",8.43185508519086,8.66664447811083,8.26209590038775,"Low_peak",-0.361076103515192,0.00409842065051398
"P78539",9.31318941869873,9.53169475790737,9.23335268802374,"Low_peak",-0.300069477399235,0.00409842065051398
"Q13103",16.2545252427689,16.526959062403,16.1529504571838,"Low_peak",-0.30571895391865,0.00409842065051398
"P35443",15.3055344045883,15.6065318481588,15.2061162185118,"Low_peak",-0.352856303425291,0.00412576332939874
"Q14515",14.4757113276499,14.6066797867558,14.2557289551303,"Low_peak",-0.323722684974175,0.00435901778539578
"Q9BYH1",11.0608540179253,11.2485231444453,10.9090577980103,"Low_peak",-0.310548175266486,0.00435901778539578
"P28906",10.8254764127695,11.0754020565935,10.7138011563638,"Low_peak",-0.360813359055095,0.00435901778539578
"P04004",18.2760434997392,18.4771496164669,18.1661053214134,"Low_peak",-0.272652972367123,0.0044124299371178
"Q6P4E1",11.3595676209531,11.4139971640663,11.1242284169074,"Low_peak",-0.2898375651728,0.00441702037030292
"O95196",9.53287286319273,9.73340013945715,9.38546305380333,"Low_peak",-0.320096612381255,0.00443006302497877
"Q5JRA6",10.9918440754988,11.3454401237785,10.9609374169552,"Low_peak",-0.329167581397352,0.00443006302497877
"Q9H251",10.1884972008649,10.3515701404591,9.97478153961667,"Low_peak",-0.340042349521346,0.00443006302497877
"P08294",9.48916076316838,9.74408839783027,9.41203882637789,"Low_peak",-0.314605377643598,0.00443006302497877
"P08493",14.5188352093539,14.6699177562703,14.3297730472265,"Low_peak",-0.31932544773318,0.00443006302497877
"Q8IUX7",10.867855919097,10.9949510403951,10.7057082737211,"Low_peak",-0.291694663019666,0.00464220544740407
"P49747",15.0222889432226,15.2204640791973,14.9084318102471,"Low_peak",-0.318139621116435,0.00499848821147557
"Q9HC84",8.68356024530913,9.09396058330631,8.46703440630935,"Low_peak",-0.558904752870545,0.00513533483371889
"Q8IZF2",10.51049414678,10.5998475340376,10.3138158603591,"Low_peak",-0.285626412674647,0.00513533483371889
"P09326",8.3390928263218,8.42755236355156,8.04491028497055,"Low_peak",-0.382030297331022,0.0055795634154485
"P07359",17.2648594278436,17.3334445164098,17.0658287303656,"Low_peak",-0.272122274218855,0.0055795634154485
"Q13444",7.58068264741453,7.9621515900256,7.42839866791735,"Low_peak",-0.458229327159033,0.00602766489305162
"P19256",7.89876031883388,8.10266212993535,7.76857877458154,"Low_peak",-0.30410409387196,0.00668058606099324
