"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"P52943",7.89700927246589,8.11794016106609,7.81712470246766,"Low_peak",-0.249442565773917,0.0249681613263044
"Q8TD06",8.02634706850035,8.22858308189291,7.91457952465992,"Low_peak",-0.29970231594734,0.0249681613263044
"Q9H8J5",10.5749657745674,10.8994676069472,10.4885495601586,"Low_peak",-0.30196032429328,0.0249681613263044
"A1L4H1",11.5122433804291,11.6759743782939,11.3355737958405,"Low_peak",-0.272344644166798,0.0249681613263044
"Q9NYQ6",8.54696774984623,8.69834374534015,8.39480455812043,"Low_peak",-0.282068850695751,0.0249681613263044
"P00736",15.7352072608625,15.8767963043387,15.607552467226,"Low_peak",-0.281890875447919,0.0256233671443416
"P80108",13.8632497839585,14.2007739245131,13.8850828276494,"Low_peak",-0.222537114178104,0.0258962049361854
"Q8WWZ8",10.2061190648437,10.7852099441262,10.149482580223,"Low_peak",-0.605686218453402,0.0263115595784522
"Q15293",10.5531504319096,10.6738899506956,10.3888602036639,"Low_peak",-0.27650235161836,0.0263115595784522
"Q16706",9.44860559469617,9.55587593887424,9.36444830869375,"Low_peak",-0.185318254675012,0.0269746749336576
"P15291",8.6004266870651,8.97976050685435,8.69115278933856,"Low_peak",-0.220079850213354,0.0280533678824401
"P07942",9.96875624143657,10.0913188356119,9.79072644502603,"Low_peak",-0.277385771508028,0.0283164295701337
"P01011",12.2948437524956,12.6587026662986,12.312354180247,"Low_peak",-0.266744612621203,0.0289829625737684
"Q99969",12.7249022266619,12.7475853884068,12.5521356893128,"High_suppression",-0.2734710909269,0.029026832214738
"Q13217",9.69865206031118,9.98989716234203,9.56321111950844,"Low_peak",-0.336995983888675,0.0293706507398877
"Q9NS62",9.42968098291549,9.52005154038749,9.24130824404337,"Low_peak",-0.233292211733797,0.0293706507398877
"O43505",6.80394305141902,7.15007560624707,6.7970834775891,"Low_peak",-0.291127936697015,0.029533879018191
"Q14574",11.9912438297385,12.1417797368669,11.7849135063179,"Low_peak",-0.370787890857295,0.029533879018191
"Q09327",7.54891189021612,7.64543787575995,7.32515776375694,"Low_peak",-0.311716429751576,0.029533879018191
"Q07954",10.8113774194767,10.9999154022452,10.680704058821,"Low_peak",-0.409638795159573,0.029533879018191
"Q9Y625",8.39007127449889,8.65300706835208,8.31696053129707,"Low_peak",-0.264424592605062,0.029533879018191
"Q8N3T1",7.17424559743369,7.34609268587528,7.06901466409705,"Low_peak",-0.275596594748105,0.0297317639717973
"P07355",9.14937080044555,9.21311455395812,8.93319456696596,"Low_peak",-0.259258488680407,0.0299057380793044
"P19320",10.0027615187712,10.219133912073,10.0066595800948,"Low_peak",-0.162930886270264,0.0302884734587436
"Q9UHF0",7.91845433384772,8.01787048628024,7.61448582316412,"Low_peak",-0.357022814377159,0.0304074113461027
"Q86TH1",9.0458435296973,9.14374135554088,8.88004028411114,"Low_peak",-0.30193394862134,0.0304074113461027
"Q08554",10.2391014021801,10.3544020933999,10.0788886412002,"Low_peak",-0.334259103717493,0.0308285780296292
"P08833",10.0525428644456,10.2308590127513,9.87559236379663,"Low_peak",-0.352034235171971,0.0311800080650509
