"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","minus_log10_fdr","Status"
"O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879","High_vs_Control",0.0383191931347646,12.3550016592123,0.295848190381069,0.76746444534128,0.943292483195312,-5.55711542792478,FALSE,0.0253536263052665,"Not significant"
"P10768","High_vs_Control",0.0436492926592882,7.51233394520057,0.29571371213439,0.767581132514295,0.943292483195312,-5.51462771129463,FALSE,0.0253536263052665,"Not significant"
"P06753","High_vs_Control",0.0418900038292751,9.83851199696445,0.295255472544921,0.76791828355056,0.943292483195312,-5.55500066089156,FALSE,0.0253536263052665,"Not significant"
"Q76LX8","High_vs_Control",0.0280670612628491,9.86551978752602,0.291674419274824,0.770652205147369,0.943292483195312,-5.55817739860412,FALSE,0.0253536263052665,"Not significant"
"O15117","High_vs_Control",-0.0508094725993242,6.78928149764094,-0.290749199110096,0.77138216028906,0.943292483195312,-5.47824950332507,FALSE,0.0253536263052665,"Not significant"
"P31949","High_vs_Control",-0.0311645309515054,7.98522564290419,-0.29012780309679,0.77183789285456,0.943292483195312,-5.54490697257335,FALSE,0.0253536263052665,"Not significant"
"O75340","High_vs_Control",0.0288389121769086,8.92749489220785,0.289855025436209,0.772043005963303,0.943292483195312,-5.55863560316868,FALSE,0.0253536263052665,"Not significant"
"Q96MY7","High_vs_Control",0.0456617616992538,13.1682044792547,0.289520605842605,0.772301936373398,0.943292483195312,-5.54965235600136,FALSE,0.0253536263052665,"Not significant"
"O60234","High_vs_Control",0.047016804131931,7.33468514488591,0.289180096021645,0.77259466938256,0.943292483195312,-5.43982017175445,FALSE,0.0253536263052665,"Not significant"
"Q14393","High_vs_Control",-0.037083877080482,9.14485263270739,-0.288841407404426,0.772818612679659,0.943292483195312,-5.55665539313857,FALSE,0.0253536263052665,"Not significant"
"Q9BQS7","High_vs_Control",0.0351988928766538,8.93206688170446,0.288515115821311,0.773101691717638,0.943292483195312,-5.45222288555425,FALSE,0.0253536263052665,"Not significant"
"Q8NBP7","High_vs_Control",-0.0269167402385566,11.9076921862924,-0.288271334369597,0.773254226744583,0.943292483195312,-5.5590321140946,FALSE,0.0253536263052665,"Not significant"
"O95782","High_vs_Control",-0.0427229373125426,6.55989398713567,-0.287038651330888,0.774228590526662,0.943292483195312,-5.46907464516909,FALSE,0.0253536263052665,"Not significant"
"Q9BSL1","High_vs_Control",0.0399391452128919,7.71913091186005,0.286833091848852,0.774383416692131,0.943292483195312,-5.47087001751309,FALSE,0.0253536263052665,"Not significant"
"P02788","High_vs_Control",-0.0450501113770105,6.73759880489271,-0.286173869316105,0.774894382987502,0.943292483195312,-5.41421624435791,FALSE,0.0253536263052665,"Not significant"
