"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"O95714",0.254211580026526,0.00912305883442954,FALSE
"O95715",-0.525835068272077,-0.281207415113115,TRUE
"O95744",0.196365896884156,-0.155542955466373,FALSE
"O95747",0.136887404709235,0.347896888465468,FALSE
"O95782",-0.110054522199539,0.464138158031709,FALSE
"O95810",0.0293847043796429,0.52012736635384,FALSE
"O95967",-0.127355274704113,-0.487140753905876,TRUE
"P00325",-0.827997603208326,0.116242553267747,FALSE
"P00326",-0.588724464637259,-0.13975727034398,FALSE
"P00338",-0.28162593525532,0.750070698772287,FALSE
"P00352",0.170300732806773,1.00829039485405,FALSE
"P00387",-0.170166204611444,0.553137598855724,FALSE
"P00450",-0.012652711605373,0.175299598489964,FALSE
"P00451",-0.093797345467781,-0.396387589241783,FALSE
"P00488",-0.196688036849787,0.555285306178732,FALSE
"P00491",0.104264316865663,0.585167415168681,FALSE
"P00492",-0.0893592567985095,0.850004347119826,FALSE
"P00558",-0.170796424023996,0.410631074679532,FALSE
"P00568",-0.0273788910039094,0.554679002361526,FALSE
"P00734",0.020120450255849,-0.178765225416793,FALSE
"P00736",-0.272489843471755,-0.248789225210089,TRUE
"P00738",-0.124549221591318,0.366874979049644,FALSE
"P00739",-0.155545429880716,-0.0934205326977509,FALSE
"P00740",-0.163632302813232,-0.418408017176313,FALSE
"P00742",0.130152330886094,-0.264360379892816,FALSE
"P00746",-0.120235430262436,-0.298872755853548,FALSE
"P00747",-0.263320229894919,-0.168682413761431,FALSE
"P00748",-0.0960853766006071,-0.293954127766865,FALSE
"P00751",-0.123971020314114,0.0571600783019601,FALSE
"P00915",0.306736393219037,0.411774363620369,FALSE
"P00918",0.125766074435106,0.392332837602186,FALSE
"P00966",-0.725730013185641,-0.310750558694033,TRUE
"P01008",-0.439063172930382,-0.125437363470768,FALSE
"P01009",-0.215548772279984,0.0405173728425261,FALSE
"P01011",-0.382478069427773,-0.296580914199067,TRUE
"P01019",-0.161276971573839,-0.0324324542811087,FALSE
"P01023",-0.075284856641618,0.277450269286613,FALSE
"P01024",-0.0139750970471155,-0.21831680527341,FALSE
"P01031",-0.213889146055537,0.0647095763864094,FALSE
"P01033",0.130225412466823,0.47771511173498,FALSE
"P01034",-0.221063590268175,0.0553742526183196,FALSE
"P01040",-0.827698387655783,-0.00310381886240663,FALSE
"P01042",-0.363758165911058,-0.325699289778726,FALSE
"P01111",-0.153827037288123,0.252380466574698,FALSE
