"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"P02766",0.0944880822952943,0.226683797287654,FALSE
"P02768",-0.530900692360053,0.681250907686367,FALSE
"P02774",-0.0745310017620309,0.623049891690926,FALSE
"P02775",0.138204952628305,-0.223926888936047,FALSE
"P02776",0.0792101907116809,0.0366861551050679,FALSE
"P02786",0.14518001302357,0.494501058479155,FALSE
"P02787",0.394289852333815,0.940330599615192,FALSE
"P02788",0.173102195004162,-0.165535545134099,FALSE
"P02790",0.138979754588282,0.597314600144113,FALSE
"P03950",0.167722716318538,0.0139919770308232,FALSE
"P03951",-0.277407181952874,0.00349393905482742,FALSE
"P03952",-0.115923125196851,0.340735557043359,FALSE
"P04003",0.0483638615709925,0.421409237111163,FALSE
"P04004",-0.340230570588648,0.0632553315818072,FALSE
"P04040",-0.545729072137821,-0.423428926403894,FALSE
"P04062",-0.344141482481908,-0.112529740253749,FALSE
"P04070",-0.126300602887936,0.204094283609502,FALSE
"P04075",-0.126553057392547,0.0473232487715691,FALSE
"P04083",-0.266023000286916,0.154827108955549,FALSE
"P04114",0.0595908151626752,0.213112922190927,FALSE
"P04156",-0.278532578370688,-0.0260080156940159,FALSE
"P04180",0.0408416101755371,0.267221376626351,FALSE
"P04196",0.0156655953512832,0.00133710875994097,FALSE
"P04211",-0.172404969485292,0.344666475997611,FALSE
"P04217",0.191751288786396,0.986111245386368,FALSE
"P04233",-0.302653381505767,0.0477530384162517,FALSE
"P04259",-0.331259129166048,-0.110673254871397,FALSE
"P04264",-0.693048841265304,-0.212068078090883,FALSE
"P04275",-0.144763255893796,0.0478739321799431,FALSE
"P04278",-0.100658385501076,0.403823966057244,FALSE
"P04350",0.117338686684354,-0.0855162538726244,FALSE
"P04406",-0.296093948783877,-0.273916874552768,FALSE
"P04439",0.0337167098698838,0.107129454238782,FALSE
"P04632",-0.269664472047825,-0.0503490085310059,FALSE
"P04792",-0.187366982798617,-0.138195385751265,FALSE
"P04839",-0.0023662794095376,0.0765075811334608,FALSE
"P04899",-0.363290533490146,0.100918414297842,FALSE
"P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1",-0.271875808881633,0.232271901279562,FALSE
"P04921",-0.234340492758159,0.0434101287680022,FALSE
"P05019",-0.0642413525448102,0.161200906809164,FALSE
"P05023",-0.335031766487145,0.146518858509928,FALSE
"P05060",-0.253906956789136,-0.115073142058886,FALSE
"P05062",-1.66146521619363,0.341205467472475,FALSE
"P05067",-0.345819197268128,-0.264160919873589,FALSE
"P05089",-0.622207272034082,-0.183767421079805,FALSE
"P05090",-0.0918020158278203,0.207349235194716,FALSE
"P05106",-0.0907090340428862,0.0957515819944295,FALSE
"P05107",-0.227467507608155,0.250634066117263,FALSE
"P05109",-0.0427012273931719,0.310791580086432,FALSE
"P05121",-0.327873363456383,0.671750669614073,FALSE
"P05141",0.0225319811756073,0.3343261634508,FALSE
"P05154",-0.14319059439806,-0.217640790185499,FALSE
"P05155",-0.320518397217201,0.178679806815966,FALSE
"P05156",0.0611894144114551,0.658341428140147,FALSE
"P05160",0.0572164277121647,0.702437323146482,FALSE
"P05164",0.211450505459513,-0.119373465821067,FALSE
"P05186",-0.739012219234504,0.152497933728407,FALSE
"P05198",0.0263542597955482,-0.0655597844405031,FALSE
"P05362",-0.287267305896606,0.0615512397821867,FALSE
"P05386",-0.851372224867498,-0.114147485165393,FALSE
"P05387",0.108577007028829,-0.320559282932653,FALSE
"P05388",-0.114859778491526,-0.0675215474508457,FALSE
"P05452",0.0805860562069434,0.20938668197237,FALSE
"P05543",0.0931595008473884,0.6100366768709,FALSE
"P05546",0.0112944885194537,0.436233573493677,FALSE
"P05556",-0.139895904375113,0.145082809371226,FALSE
"P05997",0.643787392347862,-0.0813747102448419,FALSE
"P06276",-0.0949282335800605,0.642453519032191,FALSE
"P06310",0.0589016410603982,-0.0214198146525888,FALSE
"P06312",0.223563601093192,0.466099257982034,FALSE
"P06331",-0.140780312484722,0.545373944335331,FALSE
"P06396",0.117389926634463,0.285484737636923,FALSE
"P06454",-0.0458696676113011,0.181464422377365,FALSE
"P06576",0.600971382812959,0.101315964074727,FALSE
"P06681",-0.0838957233292987,0.708540337403676,FALSE
"P06702",-0.16752257631399,0.258130818845865,FALSE
"P06703",-0.440300997936141,0.0427792681221248,FALSE
"P06727",-0.114502965343103,0.298051032250648,FALSE
"P06733",-0.374873279824074,0.0186249900348621,FALSE
"P06734",-0.256405869577252,0.0322649951519391,FALSE
"P06744",0.709561197900805,0.165908788270015,FALSE
"P06753",0.345221045881088,0.116219383092485,FALSE
"P06756",-0.109280819164607,0.252957804408488,FALSE
"P06858",0.0603593346352991,-0.177195392870717,FALSE
"P07093",0.0100827877362661,-0.143392143023002,FALSE
"P07195",0.0685996994390248,0.269599700357938,FALSE
