"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"P04217",0.375753149356157,0.62647588636322,FALSE
"P04233",-0.0649204977238664,0.192375712967895,FALSE
"P04259",0.134721663548316,-0.127865404994093,FALSE
"P04264",0.169387536126298,-0.150526425666904,FALSE
"P04275",0.0268077608218249,0.319550735761254,FALSE
"P04278",0.0477446056969555,0.720996293817109,TRUE
"P04350",0.092628691550086,-0.561529243202319,FALSE
"P04406",0.0542618274103699,-0.465206013890736,FALSE
"P04439",0.28945674493646,0.0327720004324821,FALSE
"P04632",0.110703182213657,0.0288785966190623,FALSE
"P04792",0.379887702630246,-0.496501793196186,FALSE
"P04839",0.0138969431927229,-0.893751485972665,FALSE
"P04899",-0.0331452272676049,0.0237104578836753,FALSE
"P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1",-0.197153027620246,-0.168569366903908,FALSE
"P04921",-0.0254156588241123,-0.105247885778494,FALSE
"P05019",0.133797951217453,0.457015446074642,FALSE
"P05023",0.144633577963559,-0.0404747959930978,FALSE
"P05060",0.118546739571524,0.0547659712789024,FALSE
"P05062",0.112181259062467,1.24167134969621,FALSE
"P05067",-0.17776183041242,0.0359066524330593,FALSE
"P05089",0.418951440506177,-0.182538785275552,FALSE
"P05090",0.43627017680997,0.419005744452074,TRUE
"P05106",0.435087496027956,-0.264137471848519,FALSE
"P05107",0.0160979170610709,0.24993779930783,FALSE
"P05109",0.097905860503511,-0.515317978434533,FALSE
"P05121",0.190780640628605,0.362752182659283,FALSE
"P05141",0.494840298665412,-0.294658418160981,FALSE
"P05154",0.097208120090345,0.252194623262309,FALSE
"P05155",-0.101587420714393,0.303643310776623,FALSE
"P05156",0.266587788686268,0.537255804226566,FALSE
"P05160",0.309827298875,0.325426223090622,FALSE
"P05164",0.335694609073151,-0.442140442343938,FALSE
"P05186",-0.272943817498541,-0.280473024494668,FALSE
"P05198",-0.000671310653562074,-0.962331068053632,FALSE
"P05362",0.0135679937170092,0.0293172851151304,FALSE
"P05386",-0.285860951772003,-0.479641401597832,FALSE
"P05387",0.501824394619014,-0.396770433557374,FALSE
"P05388",0.141231694299725,-0.128963637896197,FALSE
