"PG.ProteinGroups","Run","Contrast","logFC","SE_moderated","CI_low","CI_high","AveExpr","t","P.Value","adj.P.Val","B","N_observed_control","N_observed_low","N_observed_high"
"P07437","20260527","High_vs_Control",0.0710410326200765,0.267353595400764,-0.457437879508733,0.599519944748886,10.4834355589674,0.26571938377558,0.790838303257341,0.932706520523581,-6.17981626983851,30,66,46
"P06454","20260527","High_vs_Control",-0.0458696676113011,0.172684369966969,-0.38725488217664,0.295515546954038,11.0003376539827,-0.265627211195055,0.790914315869369,0.932706520523581,-6.16585191067413,29,66,45
"P01699","20260527","High_vs_Control",0.0769116636348954,0.292649797539544,-0.501605166204581,0.655428493474372,11.7700611844568,0.262811265483629,0.793077242656749,0.932844070179714,-6.17637463072877,30,66,45
"Q9Y696","20260527","High_vs_Control",0.0513882734596862,0.196478745022752,-0.337034641946434,0.439811188865807,7.5293330319443,0.261546221978034,0.794052736665043,0.932844070179714,-6.16689111028289,29,66,45
"Q9UGM3","20260527","High_vs_Control",-0.0540236982210729,0.206703921207723,-0.462638336353999,0.354590939911853,9.08373150446628,-0.261357877999725,0.794195233856772,0.932844070179714,-6.17674300847463,30,66,45
"O00186","20260527","High_vs_Control",-0.0633884323420704,0.24318754110857,-0.544686840635292,0.417909975951151,7.3032276341652,-0.26065657826513,0.794786277158134,0.932844070179714,-6.09298482353889,26,62,36
"O00161","20260527","High_vs_Control",0.0916373271416484,0.35247362161625,-0.606683162225649,0.789957816508946,7.7331823694083,0.259983503790866,0.795350028118068,0.932844070179714,-6.0175566363241,22,59,31
"P61160","20260527","High_vs_Control",0.0795202316679067,0.309418678740868,-0.53214570701807,0.691186170353883,8.43179083287274,0.256998808189286,0.797551962406373,0.932844070179714,-6.17783501841315,30,66,45
"Q7LDG7","20260527","High_vs_Control",0.102702600070637,0.399862753233245,-0.689581896482736,0.894987096624011,6.99651777144474,0.256844627913443,0.797770371609908,0.932844070179714,-6.04125195892912,22,54,35
"P06310","20260527","High_vs_Control",0.0589016410603982,0.229519162901061,-0.394789798326624,0.51259308044742,11.1956704677278,0.256630602499143,0.797833055079165,0.932844070179714,-6.18211167117116,30,66,46
"Q10471","20260527","High_vs_Control",-0.0282820978027605,0.1103512274472,-0.246424453243097,0.189860257637576,7.51401040723786,-0.256291646744868,0.798096342400202,0.932844070179714,-6.17801075120403,30,66,45
"Q9Y6Z7","20260527","High_vs_Control",-0.0326706604710232,0.127742746887421,-0.285177422909385,0.219836101967338,14.6913420820906,-0.255753545833923,0.79850843628409,0.932844070179714,-6.18232923158839,30,66,46
"P61586","20260527","High_vs_Control",0.0587309061946595,0.230793023087043,-0.397531149959145,0.514992962348464,8.24949345394883,0.254474357192805,0.79949987226532,0.932844070179714,-6.16865347068261,29,66,45
"P63241","20260527","High_vs_Control",0.053557045166535,0.211630359786741,-0.364771480365127,0.471885570698197,9.047853039975,0.253068818767327,0.800578519809844,0.932844070179714,-6.18298956576798,30,66,46
"P35612","20260527","High_vs_Control",-0.0848005324909291,0.335527078967044,-0.748159712790995,0.578558647809137,8.79320140235054,-0.252738267063262,0.800841448045465,0.932844070179714,-6.17888177500557,30,64,45
"P10124","20260527","High_vs_Control",0.0565832074643851,0.224179492414968,-0.386553284100122,0.499719699028892,13.3624511914991,0.2524013541776,0.801093534701989,0.932844070179714,-6.1831525747829,30,66,46
"Q9NT62","20260527","High_vs_Control",-0.0430755263986047,0.171132720864412,-0.381614745991385,0.295463693194176,7.66850539409188,-0.251708300908353,0.801660722652275,0.932844070179714,-6.13109881207677,27,62,41
"O14656","20260527","High_vs_Control",-0.0571806893894173,0.227162142740134,-0.50749890052494,0.393137521746105,6.59178176798116,-0.251717511992437,0.801741852679731,0.932844070179714,-6.03802714793725,23,51,32
"Q13867","20260527","High_vs_Control",-0.058196298283411,0.233021465258024,-0.519270260697807,0.402877664130985,9.2804729866452,-0.249746512489613,0.803183856480374,0.932844070179714,-6.09997615705267,25,63,39
"Q5T4S7","20260527","High_vs_Control",0.053106577654467,0.212729829316064,-0.367550048414499,0.473763203723433,7.04798659474051,0.249643304962012,0.803236933392272,0.932844070179714,-6.1655808604579,29,63,44
"P51884","20260527","High_vs_Control",-0.0241567896898118,0.0970934173800204,-0.216079580408505,0.167766001028882,16.6285805370974,-0.248799458723993,0.803872662656534,0.932844070179714,-6.18402571284032,30,66,46
"P31946","20260527","High_vs_Control",-0.0578427157936705,0.232691056600343,-0.517804050033133,0.402118618445792,10.4547529440414,-0.248581602742979,0.804041332456155,0.932844070179714,-6.18407784110591,30,66,46
"P07203","20260527","High_vs_Control",-0.0472598483043871,0.192966448891274,-0.428693595174584,0.33417389856581,9.03589904140011,-0.244912255865865,0.806875304890396,0.935375252395172,-6.18495362714327,30,66,46
"P08571","20260527","High_vs_Control",-0.0323416171905233,0.134356154112069,-0.297920981304299,0.233237746923252,12.8527814686589,-0.240715562337,0.810120133748602,0.938378248623178,-6.18593909038418,30,66,46
"P62937","20260527","High_vs_Control",0.0563771501599142,0.237034797511199,-0.412170473961669,0.524924774281498,11.3808017991127,0.237843349381015,0.812343279994154,0.940117093145529,-6.18660346954262,30,66,46
"Q13790","20260527","High_vs_Control",-0.0368805864887065,0.15619525240353,-0.345631832666028,0.271870659688615,16.1207015252155,-0.236118485813036,0.81367875281131,0.940117093145529,-6.18699880675108,30,66,46
"P07195","20260527","High_vs_Control",0.0685996994390248,0.291535171835588,-0.507713712752013,0.644913111630063,9.0277038153925,0.23530505429963,0.814311212514293,0.940117093145529,-6.1772861608223,29,66,46
"P35442","20260527","High_vs_Control",-0.0476101530640687,0.202871296978462,-0.448626650218803,0.353406344090665,13.8577793226706,-0.234681563006537,0.814791830389514,0.940117093145529,-6.18732588628959,30,66,46
"P23141","20260527","High_vs_Control",-0.0372899077778062,0.159430183362973,-0.352724388961755,0.278144573406142,6.48404017824903,-0.233894906166599,0.815437098866435,0.940117093145529,-6.13060444767286,28,62,38
"Q99459","20260527","High_vs_Control",0.05694560916554,0.243649921157359,-0.424890090787029,0.538781309118109,10.5247766271986,0.233718972265795,0.815554856257348,0.940117093145529,-6.15033895247066,28,65,42
"Q9H6X2","20260527","High_vs_Control",-0.0394886575379552,0.170579458387558,-0.376669967830986,0.297692652755076,8.2888965191237,-0.231497144563776,0.817259322185663,0.941325195192161,-6.18804393997978,30,66,46
"P09211","20260527","High_vs_Control",-0.0637456577122268,0.277837677013969,-0.613083585713792,0.485592270289338,8.40870905969007,-0.229434893054558,0.818868420252075,0.942300650770178,-6.16006997909002,28,66,44
"P17900","20260527","High_vs_Control",0.0413279256782779,0.181295214372653,-0.317340688692807,0.399996540049363,7.46952908810519,0.227959275269827,0.820035814943988,0.942300650770178,-6.10964663911808,25,64,40
"P25788","20260527","High_vs_Control",0.0593367345409508,0.260450679822952,-0.456169525660244,0.574842994742145,7.97505326276381,0.227823304516949,0.820158946874831,0.942300650770178,-6.1208428640803,28,59,36
"P28070","20260527","High_vs_Control",-0.062965106450779,0.277947452297982,-0.613477815892331,0.487547602990773,7.27661908943542,-0.226536008623945,0.821183457229401,0.942300650770178,-6.10637236741109,26,52,37
"P40121","20260527","High_vs_Control",-0.0897244131057162,0.396198134930225,-0.877621531860515,0.698172705649082,6.57856752388465,-0.226463491862519,0.821391780657408,0.942300650770178,-5.87191594656424,16,45,22
"P62942","20260527","High_vs_Control",-0.0462650924340533,0.206453712990877,-0.454648419468834,0.362118234600727,8.12668613361317,-0.224094261923483,0.823030208403956,0.942366064998516,-6.15771304751201,29,61,41
"Q16643","20260527","High_vs_Control",-0.096469221746923,0.431278315799856,-0.952448415748487,0.759509972254641,7.27897108255973,-0.223682059154793,0.823475615112055,0.942366064998516,-5.95660990713299,17,47,32
"Q7L576","20260527","High_vs_Control",0.0663119398613015,0.297522530386575,-0.522060820529984,0.654684700252587,7.34977731789117,0.222880397579106,0.823963236139159,0.942366064998516,-6.16271987448623,29,64,42
"O15466","20260527","High_vs_Control",-0.0344997944972327,0.155251354228737,-0.341382320320936,0.27238273132647,9.18197189441796,-0.222218960141262,0.824460297564438,0.942366064998516,-6.19007951779016,30,66,46
"P10643","20260527","High_vs_Control",-0.039172104494023,0.176557349506307,-0.388171685447576,0.30982747645953,11.2523972511404,-0.221866178913292,0.824734596633987,0.942366064998516,-6.19015517235906,30,66,46
"P47756","20260527","High_vs_Control",0.0591538764140811,0.269971979056697,-0.474500805069726,0.592808557897888,8.9462903516637,0.219111170799167,0.826876096518732,0.944060766248297,-6.19074254165532,30,66,46
"P04439","20260527","High_vs_Control",0.0337167098698838,0.154626084893578,-0.271929857440948,0.339363277180716,10.627741470404,0.218053182249874,0.827698339068273,0.944247747194832,-6.19096640289035,30,66,46
"P02765","20260527","High_vs_Control",0.0242961300537381,0.113559772644892,-0.200175617964326,0.248767878071802,17.1362966755253,0.213950147027096,0.83089054066367,0.945586994146543,-6.19182351894082,30,66,46
"P21980","20260527","High_vs_Control",-0.0804512349345821,0.379542101348123,-0.830974502155176,0.670072032286012,8.6039503260309,-0.211969198275557,0.83244632242074,0.945586994146543,-6.18232399140735,29,61,46
"P11586","20260527","High_vs_Control",-0.049738524348264,0.23609406136347,-0.516480818704369,0.417003770007841,7.89942411987867,-0.210672492399929,0.833447030544636,0.945586994146543,-6.18830707117347,30,65,45
"A0A0C4DH67","20260527","High_vs_Control",0.05106112309499,0.242471810917153,-0.429138715744712,0.531260961934692,7.87609222919067,0.210585811611876,0.833576589364809,0.945586994146543,-6.0791301328176,22,53,41
"Q14019","20260527","High_vs_Control",0.0836508692487792,0.397353023237368,-0.702891414420189,0.870193152917747,7.89683827185964,0.210520278837311,0.833610260044487,0.945586994146543,-6.1098374213787,24,56,42
"P50225","20260527","High_vs_Control",0.0740627036027615,0.35269016342202,-0.624964916215553,0.773090323421076,7.78661188168789,0.209993675140126,0.834064985140916,0.945586994146543,-6.02536379316656,19,50,39
"Q13093","20260527","High_vs_Control",0.0609735490874765,0.29119993704965,-0.516555136156571,0.638502234331524,7.45978245244254,0.209387233064822,0.834559674165301,0.945586994146543,-6.0330398070707,20,45,37
