"Protein","K","Cluster"
"Q8IZP7",4,1
"P29966",4,2
"Q14767",4,1
"Q76LX8",4,4
"P16871",4,3
"Q9H159",4,1
"Q07507",4,3
"P00966",4,2
"Q8IUK5",4,1
"P98095",4,1
"Q96AQ6",4,3
"P24821",4,1
"Q658P3",4,2
"Q6EMK4",4,4
"Q86YZ3",4,2
"P32942",4,3
"Q6YHK3",4,3
"P20908",4,2
"Q10472",4,1
"P50895",4,1
"Q14242",4,1
"Q8IZP9",4,1
"Q8NBJ4",4,1
"P21810",4,1
"O95715",4,4
"Q9BXN1",4,1
"Q9H2X3",4,2
"Q6UX71",4,4
"Q8NI99",4,4
"O94769",4,3
"Q9NP78",4,2
"Q9Y4L1",4,4
"Q9H8L6",4,4
"Q92752",4,2
"Q92743",4,4
"P51884",4,3
"O00339",4,3
"Q9BWP8",4,4
"Q8NBJ7",4,4
"Q76I76",4,2
"P05387",4,1
"O43897",4,2
"P55287",4,4
"P52943",4,1
"Q8TD06",4,2
"Q9H8J5",4,1
"A1L4H1",4,1
"Q9NYQ6",4,1
"P00736",4,4
"P80108",4,4
"Q8WWZ8",4,4
"Q15293",4,3
"Q16706",4,4
"P15291",4,4
"P07942",4,3
"P01011",4,4
"Q99969",4,3
"Q13217",4,1
"Q9NS62",4,1
"O43505",4,4
"Q14574",4,3
"Q09327",4,2
"Q07954",4,4
"Q9Y625",4,1
"Q8N3T1",4,3
"P07355",4,2
"P19320",4,4
"Q9UHF0",4,4
"Q86TH1",4,3
"Q08554",4,3
"P08833",4,3
"P78509",4,4
"Q15166",4,4
"P35625",4,1
"P14543",4,4
"Q6ZN30",4,2
"Q08722",4,2
"Q6UXI9",4,3
"Q6E0U4",4,4
"P35030",4,2
"P16150",4,1
"P98164",4,2
"Q5D862",4,2
"Q16270",4,3
"P55291",4,2
"Q96EE4",4,4
"P08195",4,4
"Q9H0B8",4,3
"Q8TER0",4,4
"Q9NPG4",4,4
"P08575",4,1
"Q9UBP4",4,1
"P41222",4,4
"Q13609",4,3
"O75339",4,3
"P08238",4,1
"Q99542",4,1
"P04233",4,3
"O60245",4,4
"Q7Z7M9",4,2
"P39060",4,1
"Q8WWV6",4,1
"Q9BYE9",4,2
"Q9H1Z8",4,2
"Q9UBS9",4,3
"P01275",4,4
"Q99784",4,4
"P60033",4,2
"O15031",4,4
"Q9NQ38",4,3
"Q11201",4,4
"A6NDG6",4,2
"Q08174",4,4
"Q8TDL5",4,2
"Q9NRB3",4,1
"O14645",4,2
"Q15438",4,2
"P48740",4,4
"Q9BYJ0",4,4
"Q15599",4,2
"P12830",4,4
"P07307",4,4
"P27169",4,4
"Q7Z7G0",4,1
"Q8NFU4",4,2
"Q641Q3",4,3
"P09871",4,4
"Q9Y6Z7",4,4
"P55157",4,2
"P15311",4,2
"P51148",4,2
"P13645",4,2
"P07333",4,3
"P16112",5,1
"Q08378",5,2
"Q92696",5,2
"P13591",5,4
"Q8TB73",5,1
"P07585",5,1
"O14594",5,1
"O14786",5,1
"Q9Y240",5,1
"P98160",5,1
"Q99983",5,4
"P05090",5,3
"Q13316",5,2
"O75752",5,1
"Q92859",5,4
"O75487",5,1
"Q14520",5,4
"P28482",5,2
"Q6UWP8",5,4
"Q06828",5,1
"P22466",5,3
"Q14956",5,2
"P49746",5,4
"O15335",5,4
"P35052",5,4
"Q99715",5,4
"O00468",5,1
"Q7LGC8",5,1
"Q9NR99",5,1
"P09603",5,1
"Q0VD83",5,1
"Q8NG11",5,2
"Q9UKM7",5,1
"Q6ZRP7",5,3
"P78539",5,4
"Q13103",5,1
"P35443",5,1
"Q14515",5,1
"Q9BYH1",5,1
"P28906",5,1
"P04004",5,4
"Q6P4E1",5,1
"O95196",5,2
"Q5JRA6",5,1
"Q9H251",5,1
"P08294",5,3
"P08493",5,4
"Q8IUX7",5,4
"P49747",5,1
"Q9HC84",5,2
"Q8IZF2",5,1
"P09326",5,2
"P07359",5,4
"Q13444",5,3
"P19256",5,2
"P06734",5,2
"Q6Q788",5,2
"P49641",5,4
"Q6UVK1",5,1
"O75787",5,1
"O60279",5,1
"O94985",5,1
"P14314",5,1
"P10451",5,4
"Q9HCM3",5,1
"O15466",5,1
"Q9NQ79",5,4
"P40967",5,4
"Q12797",5,1
"Q9BUD6",5,3
"Q9BRK5",5,5
"P09619",5,1
"Q8WWA0",5,3
"Q14517",5,5
"P55290",5,3
"P05154",5,2
"P13942",5,4
"Q9BV94",5,2
"P27797",5,1
"Q9Y5X9",5,2
"O43157",5,1
"P12109",5,3
"P23471",5,4
"Q14393",5,5
"Q9BY76",5,3
"Q08431",5,2
"Q9BXX0",5,1
"P13611",5,1
"O95967",5,5
"P12259",5,1
"Q9NRA1",5,4
"Q9NZ53",5,1
"P12111",5,3
"O15400",5,2
"P14625",5,1
"Q6V0I7",5,5
"Q8NEH6",5,2
"P39059",5,4
"P56715",5,2
"Q02952",5,1
"Q13740",5,1
"P05019",5,2
"P51888",5,4
"Q9HCU0",5,1
"Q9NS73",5,2
"Q9Y274",5,3
"Q6UXD5",5,4
"Q6UWD8",5,2
"P26572",5,3
"Q9UGM3",5,2
"Q86TY3",5,1
"P16070",5,4
"Q92823",5,4
"Q9ULI3",5,1
"Q02818",5,4
"Q504Y2",5,4
"Q92187",5,4
"P02760",5,3
"Q53EL9",5,2
"Q15582",5,3
"O00461",5,4
"P26022",5,1
"O60462",5,1
"Q8IZP7",5,1
"P29966",5,2
"Q14767",5,1
"Q76LX8",5,3
"P16871",5,4
"Q9H159",5,5
"Q07507",5,4
"P00966",5,2
"Q8IUK5",5,1
"P98095",5,1
"Q96AQ6",5,4
"P24821",5,1
"Q658P3",5,2
"Q6EMK4",5,3
"Q86YZ3",5,2
"P32942",5,4
"Q6YHK3",5,4
"P20908",5,2
"Q10472",5,1
"P50895",5,3
"Q14242",5,1
"Q8IZP9",5,1
"Q8NBJ4",5,1
"P21810",5,1
"O95715",5,3
"Q9BXN1",5,1
"Q9H2X3",5,2
"Q6UX71",5,5
"Q8NI99",5,5
"O94769",5,4
"Q9NP78",5,2
"Q9Y4L1",5,3
"Q9H8L6",5,3
"Q92752",5,2
"Q92743",5,3
"P51884",5,4
"O00339",5,4
"Q9BWP8",5,5
"Q8NBJ7",5,3
"Q76I76",5,2
