"UniqueSampleID","dosecontrol","doselow","dosehigh","environmenthigh_temperature"
"20251026_FJ_QZ_Q73",1,0,0,1
"20251026_FJ_QZ_Q74",0,1,0,1
"20251026_FJ_QZ_Q75",0,1,0,1
"20251026_FJ_QZ_Q76",0,0,1,1
"20251026_FJ_QZ_Q77",0,0,1,1
"20251026_FJ_QZ_Q78",0,0,1,1
"20251026_FJ_QZ_Q79",1,0,0,1
"20251026_FJ_QZ_Q80",0,1,0,1
"20251026_FJ_QZ_Q81",0,1,0,1
"20251026_FJ_QZ_Q82",1,0,0,1
"20251026_FJ_QZ_Q83",1,0,0,1
"20251104_FJ_FQ_F178",0,1,0,1
"20251104_FJ_FQ_F179",0,0,1,1
"20251107_XZ_YD_2",0,1,0,0
"20260527_XZ_GG_1",0,1,0,0
"20260527_XZ_GG_2",0,1,0,0
"20260527_XZ_GG_3",0,1,0,0
"20260527_XZ_GG_4",0,1,0,0
"20260527_XZ_GG_5",0,1,0,0
"20260527_XZ_GG_6",0,1,0,0
"20260527_XZ_GG_7",0,1,0,0
"20260527_XZ_GG_8",0,1,0,0
"20260527_XZ_GG_9",0,1,0,0
"20260527_XZ_GG_10",0,1,0,0
"20260527_XZ_GG_11",0,1,0,0
"20260527_XZ_GG_12",0,1,0,0
"20260527_XZ_GG_13",0,1,0,0
"20260527_XZ_GG_14",0,1,0,0
"20260527_XZ_GG_15",0,1,0,0
"20260527_XZ_GG_16",0,1,0,0
"20260527_XZ_GG_17",0,1,0,0
"20260527_XZ_GG_18",0,1,0,0
"20260527_XZ_GG_19",0,1,0,0
"20260527_XZ_GG_20",0,1,0,0
"20260527_XZ_GG_21",0,1,0,0
"20260527_XZ_GG_22",0,1,0,0
"20260527_XZ_GG_23",0,1,0,0
"20260527_XZ_GG_24",0,1,0,0
"20260527_XZ_GG_25",0,1,0,0
"20260527_XZ_GG_26",0,1,0,0
"20260527_XZ_GG_27",0,1,0,0
"20260527_XZ_GG_28",0,1,0,0
"20260527_XZ_GG_29",0,1,0,0
"20260527_XZ_GG_30",0,1,0,0
"20260527_XZ_GG_31",0,0,1,0
"20260527_XZ_GG_32",0,0,1,0
"20260527_XZ_GG_33",0,0,1,0
"20260527_XZ_GG_34",0,0,1,0
"20260527_XZ_GG_35",0,0,1,0
"20260527_XZ_GG_36",0,0,1,0
"20260527_XZ_GG_37",0,0,1,0
"20260527_XZ_GG_38",0,0,1,0
"20260527_XZ_GG_39",0,0,1,0
"20260527_XZ_GG_40",0,0,1,0
"20260527_XZ_GG_41",0,0,1,0
"20260527_XZ_GG_42",0,0,1,0
"20260527_XZ_GG_43",0,0,1,0
"20260527_XZ_GG_44",0,0,1,0
"20260527_XZ_GG_46",0,0,1,0
"20260527_XZ_GG_47",0,0,1,0
"20260527_XZ_GG_50",0,0,1,0
"20260527_XZ_GG_51",0,0,1,0
"20260527_XZ_GG_52",0,0,1,0
"20260527_XZ_GG_53",0,0,1,0
"20260527_XZ_GG_55",0,0,1,0
"20260527_XZ_GG_56",0,0,1,0
"20260527_XZ_GG_59",0,0,1,0
"20260527_XZ_GG_60",1,0,0,0
"20260527_XZ_GG_62",1,0,0,0
"20260527_XZ_GG_64",1,0,0,0
"20260527_XZ_GG_65",1,0,0,0
"20260527_XZ_GG_66",1,0,0,0
"20260527_XZ_GG_68",1,0,0,0
"20260527_XZ_GG_69",1,0,0,0
"20260527_XZ_GG_71",1,0,0,0
"20260527_XZ_GG_72",1,0,0,0
"20260527_XZ_GG_73",1,0,0,0
"20260527_XZ_GG_74",1,0,0,0
"20260527_XZ_GG_75",1,0,0,0
"20260527_XZ_GG_76",1,0,0,0
"20260527_XZ_GG_77",1,0,0,0
"20260527_XZ_GG_78",1,0,0,0
"20260527_XZ_GG_79",1,0,0,0
"20260527_XZ_GG_80",1,0,0,0
"20260527_XZ_GG_81",0,1,0,0
"20260527_XZ_GG_82",0,1,0,0
"20260527_XZ_GG_83",0,1,0,0
"20260527_XZ_GG_84",0,1,0,0
"20260527_XZ_GG_85",0,1,0,0
"20260527_XZ_GG_86",0,1,0,0
"20260527_XZ_GG_87",0,1,0,0
"20260527_XZ_GG_88",0,1,0,0
"20260527_XZ_GG_89",0,1,0,0
"20260527_XZ_GG_92",0,1,0,0
"20260527_XZ_GG_93",0,1,0,0
"20260527_XZ_GG_94",0,1,0,0
"20260527_XZ_GG_95",0,1,0,0
"20260527_XZ_GG_96",0,1,0,0
"20260527_XZ_GG_97",0,1,0,0
"20260527_XZ_GG_98",0,1,0,0
"20260527_XZ_GG_99",0,1,0,0
"20260527_XZ_GG_100",0,1,0,0
"20260527_XZ_GG_101",0,1,0,0
"20260527_XZ_GG_102",0,1,0,0
"20260527_XZ_GG_103",0,1,0,0
"20260527_XZ_GG_104",0,1,0,0
"20260527_XZ_GG_105",0,1,0,0
"20260527_XZ_GG_106",0,1,0,0
"20260527_XZ_GG_121",1,0,0,0
"20260527_XZ_GG_122",1,0,0,0
"20260527_XZ_GG_123",0,0,1,0
"20260527_XZ_GG_124",0,0,1,0
"20260527_XZ_GG_125",1,0,0,0
"20260527_XZ_GG_126",1,0,0,0
"20260527_XZ_GG_128",1,0,0,0
"20260527_XZ_GG_129",1,0,0,0
"20260527_XZ_GG_130",1,0,0,0
"20260527_XZ_GG_131",1,0,0,0
"20260527_XZ_GG_132",1,0,0,0
"20260527_XZ_GG_135",1,0,0,0
"20260527_XZ_GG_136",1,0,0,0
"20260527_XZ_GG_137",1,0,0,0
"20260527_XZ_GG_138",0,1,0,0
"20260527_XZ_GG_139",0,1,0,0
"20260527_XZ_GG_140",0,0,1,0
"20260527_XZ_GG_141",0,0,1,0
"20260527_XZ_GG_142",0,0,1,0
"20260527_XZ_GG_143",0,1,0,0
"20260527_XZ_GG_144",0,0,1,0
"20260527_XZ_GG_145",0,0,1,0
"20260527_XZ_GG_146",0,1,0,0
"20260527_XZ_GG_147",0,0,1,0
"20260527_XZ_GG_148",0,0,1,0
"20260527_XZ_GG_149",0,0,1,0
"20260527_XZ_GG_150",0,0,1,0
"20260527_XZ_GG_151",0,1,0,0
"20260527_XZ_GG_152",1,0,0,0
"20260527_XZ_GG_153",0,0,1,0
"20260527_XZ_GG_154",0,1,0,0
"20260527_XZ_GG_155",0,0,1,0
"20260527_XZ_GG_156",0,0,1,0
"20260527_XZ_GG_157",0,0,1,0
"20260527_XZ_GG_158",0,1,0,0
"20260527_XZ_GG_159",0,0,1,0
"20260527_XZ_GG_160",0,0,1,0
"20260527_XZ_GG_161",0,1,0,0
"20260527_XZ_GG_162",0,0,1,0
"20260527_XZ_GG_163",0,1,0,0
"20260527_XZ_GG_164",0,1,0,0
"20260527_XZ_GG_165",0,0,1,0
"20260527_XZ_GG_166",0,1,0,0
"20260527_XZ_GG_167",0,0,1,0
"20260527_XZ_GG_168",0,0,1,0
"20260527_XZ_GG_169",0,0,1,0
"20260527_XZ_GG_170",0,1,0,0
"20260527_XZ_GG_171",0,0,1,0
"20260717_GZ_TH_1",1,0,0,1
"20260717_GZ_TH_2",1,0,0,1
"20260717_GZ_TH_3",1,0,0,1
"20260717_GZ_TH_4",1,0,0,1
"20260717_GZ_TH_6",0,0,1,1
"20260717_GZ_TH_7",0,0,1,1
"20260717_GZ_TH_8",0,0,1,1
"20260717_GZ_TH_9",0,0,1,1
"20260717_GZ_TH_10",0,0,1,1
"20260717_GZ_TH_11",0,0,1,1
"20260717_GZ_TH_12",0,1,0,1
"20260717_GZ_TH_13",0,1,0,1
"20260717_GZ_TH_14",0,0,1,1
"20260717_GZ_TH_15",0,1,0,1
"20260717_GZ_TH_16",0,1,0,1
"20260717_GZ_TH_17",0,1,0,1
"20260717_GZ_TH_18",0,1,0,1
"20260717_GZ_TH_19",0,1,0,1
"20260717_GZ_TH_20",0,1,0,1
"20260717_GZ_TH_21",0,0,1,1
"20260717_GZ_TH_22",0,1,0,1
"20260717_GZ_TH_23",1,0,0,1
"20260717_GZ_TH_24",1,0,0,1
"20260717_GZ_TH_25",0,0,1,1
"20260717_GZ_TH_26",0,0,1,1
"20260717_GZ_TH_27",0,0,1,1
"20260717_GZ_TH_28",0,0,1,1
"20260717_GZ_TH_29",0,0,1,1
"20260717_GZ_TH_30",0,0,1,1
"20260717_GZ_TH_31",0,0,1,1
"20260717_GZ_TH_32",0,0,1,1
"20260717_GZ_TH_33",0,0,1,1
"20260717_GZ_TH_35",0,0,1,1
"20260717_GZ_TH_36",1,0,0,1
"20260717_GZ_TH_37",1,0,0,1
"20260717_GZ_TH_38",0,0,1,1
"20260717_GZ_TH_39",0,0,1,1
"20260717_GZ_TH_40",0,0,1,1
"20260717_GZ_TH_41",0,0,1,1
"20260717_GZ_TH_42",1,0,0,1
"20260717_GZ_TH_43",1,0,0,1
"20260717_GZ_TH_44",1,0,0,1
"20260717_GZ_TH_45",1,0,0,1
"20260717_GZ_TH_46",0,1,0,1
"20260717_GZ_TH_47",0,1,0,1
"20260717_GZ_TH_48",0,0,1,1
"20260717_GZ_TH_49",1,0,0,1
"20260717_GZ_TH_50",1,0,0,1
"20260717_GZ_TH_51",1,0,0,1
"20260717_GZ_TH_53",1,0,0,1
"20260717_GZ_TH_54",1,0,0,1
"20260717_GZ_TH_55",1,0,0,1
"20260717_GZ_TH_57",1,0,0,1
"20260717_GZ_TH_58",1,0,0,1
"20260717_GZ_TH_59",1,0,0,1
"20260717_GZ_TH_61",1,0,0,1
"20260717_GZ_TH_62",0,1,0,1
"20260717_GZ_TH_63",1,0,0,1
"20260717_GZ_TH_64",1,0,0,1
"20260717_GZ_TH_65",1,0,0,1
"20260717_GZ_TH_66",1,0,0,1
"20260717_GZ_TH_67",1,0,0,1
"20260717_GZ_TH_68",1,0,0,1
"20260717_GZ_TH_69",1,0,0,1
"20260717_GZ_TH_70",1,0,0,1
"20260717_GZ_TH_71",1,0,0,1
"20260717_GZ_TH_72",1,0,0,1
"20260717_GZ_TH_73",1,0,0,1
"20260717_GZ_TH_74",1,0,0,1
"20260717_GZ_TH_75",1,0,0,1
"20260717_GZ_TH_76",1,0,0,1
"20260717_GZ_TH_77",1,0,0,1
"20260717_GZ_TH_78",1,0,0,1
"20260717_GZ_TH_79",1,0,0,1
"20260717_GZ_TH_80",1,0,0,1
"20260717_GZ_TH_87",0,1,0,1
"20260717_GZ_TH_88",1,0,0,1
"20260717_GZ_TH_89",0,1,0,1
"20260717_GZ_TH_90",0,0,1,1
"20260717_GZ_TH_93",0,1,0,1
"20260717_GZ_TH_94",0,1,0,1
"20260717_GZ_TH_95",0,1,0,1
"20260717_GZ_TH_96",0,1,0,1
"20260717_GZ_TH_98",0,1,0,1
"20260717_GZ_TH_99",0,1,0,1
"20260717_GZ_TH_100",0,1,0,1
"20260717_GZ_TH_101",0,1,0,1
"20260717_GZ_TH_102",0,1,0,1
"20260717_GZ_TH_103",0,1,0,1
"20260717_GZ_TH_104",0,1,0,1
"20260717_GZ_TH_106",0,1,0,1
"20260717_GZ_TH_107",0,0,1,1
"20260717_GZ_TH_108",0,0,1,1
"20260717_GZ_TH_109",0,0,1,1
"20260717_GZ_TH_110",1,0,0,1
"20260717_GZ_TH_111",0,0,1,1
"20260717_GZ_TH_112",0,0,1,1
"20260717_GZ_TH_114",0,0,1,1
"20260717_GZ_TH_115",0,0,1,1
"20260717_GZ_TH_117",1,0,0,1
"20260717_GZ_TH_118",1,0,0,1
"20260717_GZ_TH_119",0,0,1,1
"20260717_GZ_TH_120",0,0,1,1
"20260717_GZ_TH_121",1,0,0,1
"20260717_GZ_TH_122",0,0,1,1
"20260717_GZ_TH_123",0,0,1,1
"20260717_GZ_TH_124",0,0,1,1
"20260717_GZ_TH_125",0,0,1,1
"20260717_GZ_TH_126",0,0,1,1
"20260717_GZ_TH_128",0,0,1,1
"20260717_GZ_TH_129",0,0,1,1
"20260717_GZ_TH_131",0,0,1,1
"20260717_GZ_TH_132",0,0,1,1
"20260717_GZ_TH_133",0,0,1,1
"20260717_GZ_TH_134",0,0,1,1
"20260717_GZ_TH_137",0,0,1,1
"20260717_GZ_TH_138",0,0,1,1
"20260717_GZ_TH_143",0,1,0,1
"20260717_GZ_TH_144",1,0,0,1
"20260717_GZ_TH_147",0,1,0,1
"20260717_GZ_TH_148",0,1,0,1
"20260717_GZ_TH_149",0,1,0,1
"20260717_GZ_TH_150",0,1,0,1
