"Protein","Cluster","logFC","adj.P.Val"
"P06734",4,-0.374318015664242,0.00668058606099324
"Q6Q788",3,-0.293823111485372,0.0071113664990785
"P49641",2,-0.288579745289779,0.0071113664990785
"Q6UVK1",1,-0.298144912410397,0.0071113664990785
"O75787",1,-0.339441208497044,0.0071113664990785
"O60279",1,-0.260853453113453,0.0071113664990785
"O94985",2,-0.266971332514078,0.0071113664990785
"P14314",1,-0.233194681339732,0.00720715375774807
"P10451",1,-0.295592210078141,0.00720715375774807
"Q9HCM3",1,-0.261616201315963,0.00746872858500086
"O15466",1,-0.305638253385021,0.00759083958367728
"Q9NQ79",2,-0.285547015445275,0.00759083958367728
"P40967",1,-0.321025098420263,0.00759083958367728
"Q12797",2,-0.266443501051951,0.00759083958367728
"Q9BUD6",2,-0.397306702209899,0.00759083958367728
"Q9BRK5",2,-0.352007245233523,0.00759083958367728
"P09619",1,-0.348245667087998,0.00759083958367728
"Q8WWA0",2,-0.344883563722574,0.00759083958367728
"Q14517",2,-0.36159708067219,0.00759083958367728
"P55290",2,-0.285866949942312,0.00759083958367728
"P05154",4,-0.251864091241194,0.00759083958367728
"P13942",1,-0.333771095662177,0.00811796949611128
"Q9BV94",1,-0.330906483518373,0.00911250129352759
"P27797",1,-0.243937020258299,0.00911250129352759
"Q9Y5X9",3,-0.276639887532323,0.00915898627091017
"O43157",1,-0.26125899060035,0.00937302708811528
"P12109",1,-0.278703927251083,0.00942484621013016
"P23471",2,-0.269196109156308,0.00965762177494127
"Q14393",2,-0.423813894355977,0.0103300960643479
"Q9BY76",2,-0.392981085620209,0.0104349010104512
"Q08431",1,-0.322704376708656,0.0104349010104512
"Q9BXX0",1,-0.266991973434157,0.0104349010104512
"P13611",1,-0.280279878285388,0.010527025108564
"O95967",2,-0.323758496444871,0.0107862158998774
"P12259",1,-0.218536716263515,0.0107862158998774
"Q9NRA1",2,-0.305084814092639,0.0110358160031522
"Q9NZ53",1,-0.320847273575835,0.0111062106664819
"P12111",1,-0.235627192518967,0.011509062942843
"O15400",1,-0.327481716347751,0.0117215145948449
"P14625",1,-0.294868761956373,0.0117488855678119
"Q6V0I7",1,-0.346723746392032,0.0117488855678119
"Q8NEH6",2,-0.345264693865811,0.0117488855678119
"P39059",1,-0.325688269257764,0.0117488855678119
"P56715",2,-0.262508048857956,0.0117488855678119
"Q02952",1,-0.311415554329919,0.0117488855678119
"Q13740",1,-0.300347397989247,0.0117488855678119
"P05019",2,-0.251856732076652,0.0117488855678119
"P51888",1,-0.326904262930632,0.0117488855678119
"Q9HCU0",1,-0.279272956172186,0.0119538257566401
"Q9NS73",2,-0.295324205111617,0.0119560516364074
"Q9Y274",2,-0.249521480667884,0.0125208366748269
"Q6UXD5",2,-0.297185062055505,0.0128214829317591
"Q6UWD8",1,-0.303080047197466,0.0128464692677272
"P26572",2,-0.363749683883542,0.0130256964995006
"Q9UGM3",1,-0.358368075190482,0.0133216298702043
"Q86TY3",2,-0.254806361703793,0.0133216298702043
"P16070",1,-0.250512243953107,0.0133828821636621
"Q92823",2,-0.311124250565447,0.0143087537456409
"Q9ULI3",1,-0.172724104273938,0.0146931632807243
"Q02818",2,-0.283677452961255,0.0148603035778247
"Q504Y2",2,-0.363995873900211,0.0148669001205594
"Q92187",1,-0.233118216179955,0.0148670651714849
